Name,Date,Open,Close,Change,
CAT,8/27/2012,87.65,86.63,-1.16%,
CAT,8/28/2012,86.37,86.01,-0.42%,
CAT,8/29/2012,85.58,86.09,0.60%,
CAT,8/30/2012,85.56,84.47,-1.27%,
CAT,8/31/2012,85.18,85.33,0.18%,
CAT,8/27/2012,87.65,86.63,-1.16%,
CAT,8/28/2012,86.37,86.01,-0.42%,
CAT,8/30/2012,85.56,84.47,-1.27%,
CAT,8/31/2012,85.18,85.33,0.18%,
CAT,8/27/2012,87.65,86.63,-1.16%,
CAT,8/30/2012,85.56,84.47,-1.27%,
CAT,8/27/2012,87.65,86.63,-1.16%,
CAT,8/28/2012,86.37,86.01,-0.42%,
CAT,8/31/2012,85.18,85.33,0.18%,
CAT,8/31/2012,85.18,85.33,0.18%,
CAT,9/1/2012,,,closed,
CAT,9/3/2012,,,closed,
CAT,9/4/2012,85.03,82.66,-2.79%,
CAT,9/5/2012,82.6,82.75,0.18%,
CAT,9/6/2012,83.55,84.79,1.48%,
CAT,9/7/2012,87.26,88.1,0.96%,
CAT,9/8/2012,,,closed,
CAT,9/10/2012,87.94,87.1,-0.96%,
CAT,9/11/2012,87.7,88.6,1.03%,
CAT,9/12/2012,89.49,89.12,-0.41%,
CAT,9/14/2012,92.21,93.17,1.04%,
CAT,9/13/2012,88.63,90.68,2.31%,
CAT,9/14/2012,92.21,93.17,1.04%,
CAT,9/16/2012,,,closed,
CAT,9/19/2012,93.3,93.94,0.69%,
CAT,9/20/2012,92.99,92.54,-0.48%,
CAT,9/21/2012,93.42,91.72,-1.82%,
CAT,9/21/2012,93.42,91.72,-1.82%,
CAT,9/22/2012,,,closed,
CAT,9/24/2012,90.45,90.87,0.46%,
CAT,9/24/2012,90.45,90.87,0.46%,
CAT,9/24/2012,90.45,90.87,0.46%,
CAT,9/25/2012,88.66,87.01,-1.86%,
CAT,9/25/2012,88.66,87.01,-1.86%,
CAT,9/24/2012,90.45,90.87,0.46%,
CAT,9/25/2012,88.66,87.01,-1.86%,
CAT,9/25/2012,88.66,87.01,-1.86%,
CAT,9/25/2012,88.66,87.01,-1.86%,
CAT,9/24/2012,90.45,90.87,0.46%,
CAT,9/24/2012,90.45,90.87,0.46%,
CAT,9/25/2012,88.66,87.01,-1.86%,
CAT,9/24/2012,90.45,90.87,0.46%,
CAT,9/24/2012,90.45,90.87,0.46%,
CAT,9/25/2012,88.66,87.01,-1.86%,
CAT,9/25/2012,88.66,87.01,-1.86%,
CAT,9/24/2012,90.45,90.87,0.46%,
CAT,9/25/2012,88.66,87.01,-1.86%,
CAT,9/25/2012,88.66,87.01,-1.86%,
CAT,9/25/2012,88.66,87.01,-1.86%,
CAT,9/26/2012,86.9,86.95,0.06%,
CAT,9/26/2012,86.9,86.95,0.06%,
CAT,9/27/2012,87.84,86.92,-1.05%,
CAT,9/28/2012,86.36,86.04,-0.37%,
CAT,10/1/2012,86.72,85.47,-1.44%,
CAT,10/2/2012,85.63,85.47,-0.19%,
CAT,10/2/2012,85.63,85.47,-0.19%,
CAT,10/1/2012,86.72,85.47,-1.44%,
CAT,10/2/2012,85.63,85.47,-0.19%,
CAT,10/2/2012,85.63,85.47,-0.19%,
CAT,10/3/2012,85.51,85.28,-0.27%,
CAT,10/6/2012,,,closed,
CAT,10/5/2012,86.85,85.43,-1.64%,
CAT,10/6/2012,,,closed,
CAT,10/5/2012,86.85,85.43,-1.64%,
CAT,10/6/2012,,,closed,
CAT,10/7/2012,,,closed,
CAT,10/8/2012,84.94,85.44,0.59%,
CAT,10/9/2012,85.72,84.75,-1.13%,
CAT,10/11/2012,83.39,82.85,-0.65%,
CAT,10/12/2012,83,82.82,-0.22%,
CAT,10/12/2012,83,82.82,-0.22%,
CAT,10/13/2012,,,closed,
CAT,10/12/2012,83,82.82,-0.22%,
CAT,10/14/2012,,,closed,
CAT,10/15/2012,82.91,82.81,-0.12%,
CAT,10/17/2012,85.62,86.63,1.18%,
CAT,10/16/2012,83.59,84.96,1.64%,
CAT,10/17/2012,85.62,86.63,1.18%,
CAT,10/18/2012,86.38,86.62,0.28%,
CAT,10/20/2012,,,closed,
CAT,10/19/2012,85.33,83.86,-1.72%,
CAT,10/20/2012,,,closed,
CAT,10/20/2012,,,closed,
CAT,10/21/2012,,,closed,
CAT,10/21/2012,,,closed,
CAT,10/22/2012,82.94,85.08,2.58%,
CAT,10/22/2012,82.94,85.08,2.58%,
CAT,10/22/2012,82.94,85.08,2.58%,
CAT,10/22/2012,82.94,85.08,2.58%,
CAT,10/22/2012,82.94,85.08,2.58%,
CAT,10/22/2012,82.94,85.08,2.58%,
CAT,10/23/2012,83.9,83.58,-0.38%,
CAT,10/22/2012,82.94,85.08,2.58%,
CAT,10/22/2012,82.94,85.08,2.58%,
CAT,10/22/2012,82.94,85.08,2.58%,
CAT,10/22/2012,82.94,85.08,2.58%,
CAT,10/22/2012,82.94,85.08,2.58%,
CAT,10/22/2012,82.94,85.08,2.58%,
CAT,10/22/2012,82.94,85.08,2.58%,
CAT,10/23/2012,83.9,83.58,-0.38%,
CAT,10/25/2012,83.39,83.53,0.17%,
CAT,10/24/2012,84.07,82.73,-1.59%,
