Name,Date,Open,Close,Change
CSCO,8/25/2012,,,closed
CSCO,8/27/2012,19.24,19.36,0.62%
CSCO,8/28/2012,19.31,19.22,-0.47%
CSCO,8/28/2012,19.31,19.22,-0.47%
CSCO,8/28/2012,19.31,19.22,-0.47%
CSCO,8/29/2012,19.22,19.2,-0.10%
CSCO,8/29/2012,19.22,19.2,-0.10%
CSCO,8/30/2012,19.08,18.9,-0.94%
CSCO,8/28/2012,19.31,19.22,-0.47%
CSCO,8/27/2012,19.24,19.36,0.62%
CSCO,8/28/2012,19.31,19.22,-0.47%
CSCO,8/29/2012,19.22,19.2,-0.10%
CSCO,8/29/2012,19.22,19.2,-0.10%
CSCO,8/30/2012,19.08,18.9,-0.94%
CSCO,8/25/2012,,,closed
CSCO,8/27/2012,19.24,19.36,0.62%
CSCO,8/27/2012,19.24,19.36,0.62%
CSCO,8/27/2012,19.24,19.36,0.62%
CSCO,8/28/2012,19.31,19.22,-0.47%
CSCO,8/29/2012,19.22,19.2,-0.10%
CSCO,8/30/2012,19.08,18.9,-0.94%
CSCO,8/25/2012,,,closed
CSCO,8/28/2012,19.31,19.22,-0.47%
CSCO,8/27/2012,19.24,19.36,0.62%
CSCO,8/28/2012,19.31,19.22,-0.47%
CSCO,8/29/2012,19.22,19.2,-0.10%
CSCO,8/29/2012,19.22,19.2,-0.10%
CSCO,8/30/2012,19.08,18.9,-0.94%
CSCO,9/2/2012,,,closed
CSCO,9/3/2012,,,closed
CSCO,9/4/2012,18.99,18.995,0.03%
CSCO,9/5/2012,19,18.9,-0.53%
CSCO,9/6/2012,19.07,19.725,3.43%
CSCO,9/6/2012,19.07,19.725,3.43%
CSCO,9/7/2012,19.55,19.56,0.05%
CSCO,9/7/2012,19.55,19.56,0.05%
CSCO,9/7/2012,19.55,19.56,0.05%
CSCO,9/8/2012,,,closed
CSCO,9/7/2012,19.55,19.56,0.05%
CSCO,9/8/2012,,,closed
CSCO,9/10/2012,19.43,19.15,-1.44%
CSCO,9/11/2012,19.12,19.04,-0.42%
CSCO,9/13/2012,19.06,19.36,1.57%
CSCO,9/12/2012,19.11,19.08,-0.16%
CSCO,9/13/2012,19.06,19.36,1.57%
CSCO,9/14/2012,19.36,19.49,0.67%
CSCO,9/13/2012,19.06,19.36,1.57%
CSCO,9/13/2012,19.06,19.36,1.57%
CSCO,9/14/2012,19.36,19.49,0.67%
CSCO,9/15/2012,,,closed
CSCO,9/16/2012,,,closed
CSCO,9/15/2012,,,closed
CSCO,9/16/2012,,,closed
CSCO,9/17/2012,19.16,19.16,0.00%
CSCO,9/17/2012,19.16,19.16,0.00%
CSCO,9/18/2012,19.06,19.045,-0.08%
CSCO,9/18/2012,19.06,19.045,-0.08%
CSCO,9/18/2012,19.06,19.045,-0.08%
CSCO,9/19/2012,19.18,19.12,-0.31%
CSCO,9/18/2012,19.06,19.045,-0.08%
CSCO,9/19/2012,19.18,19.12,-0.31%
CSCO,9/20/2012,19.0349,19.11,0.39%
CSCO,9/19/2012,19.18,19.12,-0.31%
CSCO,9/19/2012,19.18,19.12,-0.31%
CSCO,9/20/2012,19.0349,19.11,0.39%
CSCO,9/21/2012,19.15,18.9,-1.31%
CSCO,9/21/2012,19.15,18.9,-1.31%
CSCO,9/22/2012,,,closed
CSCO,9/24/2012,18.86,18.805,-0.29%
CSCO,9/24/2012,18.86,18.805,-0.29%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/25/2012,18.95,18.665,-1.50%
CSCO,9/25/2012,18.95,18.665,-1.50%
CSCO,9/25/2012,18.95,18.665,-1.50%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/25/2012,18.95,18.665,-1.50%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/25/2012,18.95,18.665,-1.50%
CSCO,9/25/2012,18.95,18.665,-1.50%
CSCO,9/25/2012,18.95,18.665,-1.50%
CSCO,9/25/2012,18.95,18.665,-1.50%
CSCO,9/25/2012,18.95,18.665,-1.50%
CSCO,9/25/2012,18.95,18.665,-1.50%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/26/2012,18.69,18.575,-0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/28/2012,19,19.095,0.50%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/27/2012,18.68,18.795,0.62%
CSCO,9/28/2012,19,19.095,0.50%
CSCO,9/29/2012,,,closed
CSCO,9/30/2012,,,closed
CSCO,9/30/2012,,,closed
CSCO,10/1/2012,19.23,19.04,-0.99%
CSCO,10/3/2012,18.96,18.93,-0.16%
CSCO,10/2/2012,19.09,18.87,-1.15%
CSCO,10/2/2012,19.09,18.87,-1.15%
CSCO,10/3/2012,18.96,18.93,-0.16%
CSCO,10/2/2012,19.09,18.87,-1.15%
CSCO,10/3/2012,18.96,18.93,-0.16%
CSCO,10/4/2012,19.01,18.895,-0.60%
CSCO,10/3/2012,18.96,18.93,-0.16%
CSCO,10/3/2012,18.96,18.93,-0.16%
CSCO,10/4/2012,19.01,18.895,-0.60%
CSCO,10/5/2012,19.04,18.86,-0.95%
CSCO,10/5/2012,19.04,18.86,-0.95%
CSCO,10/4/2012,19.01,18.895,-0.60%
CSCO,10/5/2012,19.04,18.86,-0.95%
CSCO,10/4/2012,19.01,18.895,-0.60%
CSCO,10/5/2012,19.04,18.86,-0.95%
CSCO,10/4/2012,19.01,18.895,-0.60%
CSCO,10/4/2012,19.01,18.895,-0.60%
CSCO,10/5/2012,19.04,18.86,-0.95%
CSCO,10/5/2012,19.04,18.86,-0.95%
CSCO,10/4/2012,19.01,18.895,-0.60%
CSCO,10/4/2012,19.01,18.895,-0.60%
CSCO,10/4/2012,19.01,18.895,-0.60%
CSCO,10/4/2012,19.01,18.895,-0.60%
CSCO,10/5/2012,19.04,18.86,-0.95%
CSCO,10/4/2012,19.01,18.895,-0.60%
CSCO,10/5/2012,19.04,18.86,-0.95%
CSCO,10/6/2012,,,closed
CSCO,10/5/2012,19.04,18.86,-0.95%
CSCO,10/5/2012,19.04,18.86,-0.95%
CSCO,10/5/2012,19.04,18.86,-0.95%
CSCO,10/7/2012,,,closed
CSCO,10/8/2012,18.89,18.9,0.05%
CSCO,10/8/2012,18.89,18.9,0.05%
CSCO,10/8/2012,18.89,18.9,0.05%
CSCO,10/9/2012,18.93,18.8,-0.69%
CSCO,10/9/2012,18.93,18.8,-0.69%
CSCO,10/10/2012,18.8,18.31,-2.61%
CSCO,10/9/2012,18.93,18.8,-0.69%
CSCO,10/9/2012,18.93,18.8,-0.69%
CSCO,10/9/2012,18.93,18.8,-0.69%
CSCO,10/10/2012,18.8,18.31,-2.61%
CSCO,10/10/2012,18.8,18.31,-2.61%
CSCO,10/11/2012,18.47,18.26,-1.14%
CSCO,10/12/2012,18.26,18.405,0.79%
CSCO,10/12/2012,18.26,18.405,0.79%
CSCO,10/12/2012,18.26,18.405,0.79%
CSCO,10/12/2012,18.26,18.405,0.79%
CSCO,10/13/2012,,,closed
CSCO,10/14/2012,,,closed
CSCO,10/16/2012,18.63,18.8526,1.19%
CSCO,10/15/2012,18.49,18.55,0.32%
CSCO,10/15/2012,18.49,18.55,0.32%
CSCO,10/15/2012,18.49,18.55,0.32%
CSCO,10/15/2012,18.49,18.55,0.32%
CSCO,10/16/2012,18.63,18.8526,1.19%
CSCO,10/16/2012,18.63,18.8526,1.19%
CSCO,10/16/2012,18.63,18.8526,1.19%
CSCO,10/18/2012,18.61,18.605,-0.03%
CSCO,10/17/2012,18.57,18.705,0.73%
CSCO,10/18/2012,18.61,18.605,-0.03%
CSCO,10/19/2012,18.58,18.0401,-2.91%
CSCO,10/19/2012,18.58,18.0401,-2.91%
CSCO,10/20/2012,,,closed
CSCO,10/21/2012,,,closed
CSCO,10/22/2012,18.12,18.19,0.39%
CSCO,10/23/2012,18,18.01,0.06%
CSCO,10/24/2012,18.03,17.38,-3.61%
CSCO,10/25/2012,17.53,17.2,-1.88%
CSCO,10/26/2012,17.2,17.29,0.52%
CSCO,10/27/2012,,,closed
CSCO,10/28/2012,,,closed
CSCO,10/29/2012,,,closed
CSCO,10/30/2012,,,closed
CSCO,11/8/2012,17.22,16.83,-2.26%
CSCO,11/6/2012,17.44,17.48,0.23%
CSCO,11/8/2012,17.22,16.83,-2.26%
