Name,Date,Open,Close,Change
CVX,8/25/2012,,,closed
CVX,8/27/2012,112.18,111.73,-0.40%
CVX,8/28/2012,111.84,112.35,0.46%
CVX,8/26/2012,,,closed
CVX,8/27/2012,112.18,111.73,-0.40%
CVX,8/28/2012,111.84,112.35,0.46%
CVX,8/29/2012,112.33,111.8,-0.47%
CVX,8/30/2012,111.49,110.93,-0.50%
CVX,8/25/2012,,,closed
CVX,8/26/2012,,,closed
CVX,8/28/2012,111.84,112.35,0.46%
CVX,8/28/2012,111.84,112.35,0.46%
CVX,8/25/2012,,,closed
CVX,8/25/2012,,,closed
CVX,8/27/2012,112.18,111.73,-0.40%
CVX,8/27/2012,112.18,111.73,-0.40%
CVX,8/28/2012,111.84,112.35,0.46%
CVX,9/3/2012,,,closed
CVX,9/6/2012,111.57,113.03,1.31%
CVX,9/5/2012,111.6,110.77,-0.74%
CVX,9/6/2012,111.57,113.03,1.31%
CVX,9/5/2012,111.6,110.77,-0.74%
CVX,9/6/2012,111.57,113.03,1.31%
CVX,9/8/2012,,,closed
CVX,9/7/2012,112.97,114,0.91%
CVX,9/7/2012,112.97,114,0.91%
CVX,9/9/2012,,,closed
CVX,9/10/2012,114.2,113.96,-0.21%
CVX,9/11/2012,114.07,114.18,0.10%
CVX,9/12/2012,114.23,114.48,0.22%
CVX,9/12/2012,114.23,114.48,0.22%
CVX,9/12/2012,114.23,114.48,0.22%
CVX,9/13/2012,114.73,116.56,1.60%
CVX,9/14/2012,116.93,117.25,0.27%
CVX,9/14/2012,116.93,117.25,0.27%
CVX,9/14/2012,116.93,117.25,0.27%
CVX,9/15/2012,,,closed
CVX,9/14/2012,116.93,117.25,0.27%
CVX,9/15/2012,,,closed
CVX,9/18/2012,116.99,116.97,-0.02%
CVX,9/17/2012,117.17,117.14,-0.03%
CVX,9/17/2012,117.17,117.14,-0.03%
CVX,9/17/2012,117.17,117.14,-0.03%
CVX,9/17/2012,117.17,117.14,-0.03%
CVX,9/18/2012,116.99,116.97,-0.02%
CVX,9/17/2012,117.17,117.14,-0.03%
CVX,9/18/2012,116.99,116.97,-0.02%
CVX,9/17/2012,117.17,117.14,-0.03%
CVX,9/17/2012,117.17,117.14,-0.03%
CVX,9/17/2012,117.17,117.14,-0.03%
CVX,9/19/2012,117.09,116.6,-0.42%
CVX,9/18/2012,116.99,116.97,-0.02%
CVX,9/19/2012,117.09,116.6,-0.42%
CVX,9/19/2012,117.09,116.6,-0.42%
CVX,9/20/2012,116.14,117.85,1.47%
CVX,9/20/2012,116.14,117.85,1.47%
CVX,9/21/2012,118.53,117.8,-0.62%
CVX,9/23/2012,,,closed
CVX,9/24/2012,117.55,117.775,0.19%
CVX,9/23/2012,,,closed
CVX,9/23/2012,,,closed
CVX,9/23/2012,,,closed
CVX,9/23/2012,,,closed
CVX,9/24/2012,117.55,117.775,0.19%
CVX,9/24/2012,117.55,117.775,0.19%
CVX,9/25/2012,118.18,116.9254,-1.06%
CVX,9/25/2012,118.18,116.9254,-1.06%
CVX,9/25/2012,118.18,116.9254,-1.06%
CVX,9/26/2012,116.82,116.3,-0.45%
CVX,9/27/2012,116.78,117.2,0.36%
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/27/2012,116.78,117.2,0.36%
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/27/2012,116.78,117.2,0.36%
CVX,9/27/2012,116.78,117.2,0.36%
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/29/2012,,,closed
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/29/2012,,,closed
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/29/2012,,,closed
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/29/2012,,,closed
CVX,9/29/2012,,,closed
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/29/2012,,,closed
CVX,9/29/2012,,,closed
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/29/2012,,,closed
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/29/2012,,,closed
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/29/2012,,,closed
CVX,9/29/2012,,,closed
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/29/2012,,,closed
CVX,9/28/2012,116.88,116.56,-0.27%
CVX,9/30/2012,,,closed
CVX,10/1/2012,116.92,117.25,0.28%
CVX,10/1/2012,116.92,117.25,0.28%
CVX,10/2/2012,117.65,117.96,0.26%
CVX,10/1/2012,116.92,117.25,0.28%
CVX,10/2/2012,117.65,117.96,0.26%
CVX,10/3/2012,117.65,116.14,-1.28%
CVX,10/3/2012,117.65,116.14,-1.28%
CVX,10/4/2012,116.64,117.15,0.44%
CVX,10/5/2012,117.42,117.5,0.07%
CVX,10/6/2012,,,closed
CVX,10/8/2012,117.19,117.62,0.37%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/9/2012,117.52,117.36,-0.14%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/11/2012,113.37,113.06,-0.27%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/11/2012,113.37,113.06,-0.27%
CVX,10/10/2012,114.64,112.45,-1.91%
CVX,10/11/2012,113.37,113.06,-0.27%
CVX,10/11/2012,113.37,113.06,-0.27%
CVX,10/12/2012,113.08,112.07,-0.89%
CVX,10/14/2012,,,closed
CVX,10/15/2012,112.16,112.82,0.59%
CVX,10/16/2012,113.48,114.09,0.54%
CVX,10/15/2012,112.16,112.82,0.59%
CVX,10/16/2012,113.48,114.09,0.54%
CVX,10/16/2012,113.48,114.09,0.54%
CVX,10/17/2012,114.36,115.18,0.72%
CVX,10/17/2012,114.36,115.18,0.72%
CVX,10/16/2012,113.48,114.09,0.54%
CVX,10/16/2012,113.48,114.09,0.54%
CVX,10/17/2012,114.36,115.18,0.72%
CVX,10/17/2012,114.36,115.18,0.72%
CVX,10/18/2012,114.55,114.655,0.09%
CVX,10/19/2012,114.9,113.38,-1.32%
CVX,10/19/2012,114.9,113.38,-1.32%
CVX,10/19/2012,114.9,113.38,-1.32%
CVX,10/22/2012,113.61,112.74,-0.77%
CVX,10/23/2012,111.58,109.38,-1.97%
CVX,10/24/2012,109.42,109.71,0.27%
CVX,10/25/2012,110.63,110.96,0.30%
CVX,10/26/2012,110.67,111.18,0.46%
CVX,10/25/2012,110.63,110.96,0.30%
CVX,10/25/2012,110.63,110.96,0.30%
CVX,10/26/2012,110.67,111.18,0.46%
CVX,10/27/2012,,,closed
CVX,10/29/2012,,,closed
CVX,10/30/2012,,,closed
CVX,11/8/2012,107.23,105.87,-1.27%
CVX,11/6/2012,109.65,110.36,0.65%
CVX,11/8/2012,107.23,105.87,-1.27%
CVX,11/8/2012,107.23,105.87,-1.27%
CVX,11/8/2012,107.23,105.87,-1.27%
CVX,11/9/2012,105.26,105.84,0.55%
CVX,11/9/2012,105.26,105.84,0.55%
CVX,11/9/2012,105.26,105.84,0.55%
CVX,11/8/2012,107.23,105.87,-1.27%
CVX,11/10/2012,,,closed
CVX,11/9/2012,105.26,105.84,0.55%
CVX,11/10/2012,,,closed
CVX,11/10/2012,,,closed
CVX,11/10/2012,,,closed
CVX,11/12/2012,106.45,105.93,-0.49%
CVX,11/13/2012,105.37,105.28,-0.09%
CVX,11/15/2012,101.99,101.6203,-0.36%
CVX,11/15/2012,101.99,101.6203,-0.36%
CVX,11/16/2012,101.56,102.4,0.83%
CVX,11/17/2012,,,closed
CVX,11/20/2012,104.01,103.56,-0.43%
CVX,11/19/2012,103.67,104.35,0.66%
CVX,11/19/2012,103.67,104.35,0.66%
CVX,11/20/2012,104.01,103.56,-0.43%
CVX,11/21/2012,103.95,104.1,0.14%
CVX,11/20/2012,104.01,103.56,-0.43%
CVX,11/21/2012,103.95,104.1,0.14%
CVX,11/20/2012,104.01,103.56,-0.43%
CVX,11/20/2012,104.01,103.56,-0.43%
CVX,11/21/2012,103.95,104.1,0.14%
CVX,11/21/2012,103.95,104.1,0.14%
CVX,11/21/2012,103.95,104.1,0.14%
CVX,11/20/2012,104.01,103.56,-0.43%
CVX,11/20/2012,104.01,103.56,-0.43%
CVX,11/20/2012,104.01,103.56,-0.43%
CVX,11/20/2012,104.01,103.56,-0.43%
CVX,11/21/2012,103.95,104.1,0.14%
CVX,11/20/2012,104.01,103.56,-0.43%
CVX,11/21/2012,103.95,104.1,0.14%
CVX,11/22/2012,,,closed
CVX,11/23/2012,104.87,105.47,0.57%
CVX,11/24/2012,,,closed
CVX,11/26/2012,104.75,104.99,0.23%
CVX,11/27/2012,105,103.38,-1.54%
CVX,11/28/2012,102.98,105.58,2.52%
CVX,11/27/2012,105,103.38,-1.54%
CVX,11/28/2012,102.98,105.58,2.52%
CVX,11/27/2012,105,103.38,-1.54%
CVX,11/27/2012,105,103.38,-1.54%
CVX,11/27/2012,105,103.38,-1.54%
CVX,11/28/2012,102.98,105.58,2.52%
CVX,11/28/2012,102.98,105.58,2.52%
CVX,11/27/2012,105,103.38,-1.54%
CVX,11/28/2012,102.98,105.58,2.52%
CVX,11/29/2012,105.89,105.79,-0.09%
CVX,11/28/2012,102.98,105.58,2.52%
CVX,11/29/2012,105.89,105.79,-0.09%
CVX,11/29/2012,105.89,105.79,-0.09%
CVX,11/29/2012,105.89,105.79,-0.09%
CVX,12/1/2012,,,closed
CVX,11/30/2012,106.1,105.69,-0.39%
CVX,11/30/2012,106.1,105.69,-0.39%
CVX,11/30/2012,106.1,105.69,-0.39%
CVX,11/30/2012,106.1,105.69,-0.39%
CVX,12/1/2012,,,closed
CVX,11/30/2012,106.1,105.69,-0.39%
CVX,11/30/2012,106.1,105.69,-0.39%
CVX,12/1/2012,,,closed
CVX,12/1/2012,,,closed
CVX,11/30/2012,106.1,105.69,-0.39%
CVX,11/30/2012,106.1,105.69,-0.39%
CVX,11/30/2012,106.1,105.69,-0.39%
CVX,12/1/2012,,,closed
CVX,12/1/2012,,,closed
CVX,12/1/2012,,,closed
CVX,12/1/2012,,,closed
CVX,12/2/2012,,,closed
CVX,12/4/2012,104.4,103.96,-0.42%
CVX,12/3/2012,106,104.66,-1.26%
CVX,12/3/2012,106,104.66,-1.26%
CVX,12/4/2012,104.4,103.96,-0.42%
CVX,12/4/2012,104.4,103.96,-0.42%
CVX,12/5/2012,104.38,105.17,0.76%
CVX,12/5/2012,104.38,105.17,0.76%
CVX,12/6/2012,105.49,106.45,0.91%
CVX,12/5/2012,104.38,105.17,0.76%
CVX,12/6/2012,105.49,106.45,0.91%
CVX,12/7/2012,106.73,106.99,0.24%
CVX,12/7/2012,106.73,106.99,0.24%
CVX,12/8/2012,,,closed
CVX,12/9/2012,,,closed
CVX,12/11/2012,107.29,107.74,0.42%
CVX,12/10/2012,107.1,106.96,-0.13%
CVX,12/12/2012,108.17,108.08,-0.08%
CVX,12/11/2012,107.29,107.74,0.42%
CVX,12/13/2012,108.54,107.91,-0.58%
CVX,12/11/2012,107.29,107.74,0.42%
CVX,12/12/2012,108.17,108.08,-0.08%
CVX,12/13/2012,108.54,107.91,-0.58%
CVX,12/13/2012,108.54,107.91,-0.58%
CVX,12/13/2012,108.54,107.91,-0.58%
CVX,12/14/2012,107.61,107.82,0.20%
CVX,12/15/2012,,,closed
CVX,12/15/2012,,,closed
CVX,12/14/2012,107.61,107.82,0.20%
CVX,12/15/2012,,,closed
CVX,12/14/2012,107.61,107.82,0.20%
CVX,12/15/2012,,,closed
CVX,12/14/2012,107.61,107.82,0.20%
CVX,12/14/2012,107.61,107.82,0.20%
CVX,12/15/2012,,,closed
CVX,12/16/2012,,,closed
CVX,12/15/2012,,,closed
CVX,12/16/2012,,,closed
CVX,12/15/2012,,,closed
CVX,12/15/2012,,,closed
CVX,12/15/2012,,,closed
CVX,12/16/2012,,,closed
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/16/2012,,,closed
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/18/2012,108.54,110.1,1.44%
CVX,12/18/2012,108.54,110.1,1.44%
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/18/2012,108.54,110.1,1.44%
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/17/2012,107.97,108.68,0.66%
CVX,12/18/2012,108.54,110.1,1.44%
CVX,12/18/2012,108.54,110.1,1.44%
CVX,12/18/2012,108.54,110.1,1.44%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/18/2012,108.54,110.1,1.44%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/19/2012,110.47,109.91,-0.51%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/20/2012,110,110.38,0.35%
CVX,12/21/2012,109.57,109.71,0.13%
CVX,12/22/2012,,,closed
CVX,12/22/2012,,,closed
CVX,12/23/2012,,,closed
CVX,12/24/2012,109.3,108.63,-0.61%
CVX,12/24/2012,109.3,108.63,-0.61%
CVX,12/24/2012,109.3,108.63,-0.61%
CVX,12/24/2012,109.3,108.63,-0.61%
CVX,12/25/2012,,,closed
CVX,12/25/2012,,,closed
CVX,12/25/2012,,,closed
CVX,12/24/2012,109.3,108.63,-0.61%
CVX,12/24/2012,109.3,108.63,-0.61%
CVX,12/25/2012,,,closed
CVX,12/24/2012,109.3,108.63,-0.61%
CVX,12/24/2012,109.3,108.63,-0.61%
CVX,12/24/2012,109.3,108.63,-0.61%
CVX,12/24/2012,109.3,108.63,-0.61%
CVX,12/24/2012,109.3,108.63,-0.61%
CVX,12/24/2012,109.3,108.63,-0.61%
CVX,12/24/2012,109.3,108.63,-0.61%
CVX,12/24/2012,109.3,108.63,-0.61%
CVX,12/24/2012,109.3,108.63,-0.61%
CVX,12/25/2012,,,closed
CVX,12/26/2012,109.1,108.46,-0.59%
CVX,12/25/2012,,,closed
CVX,12/26/2012,109.1,108.46,-0.59%
