Name,Date,Open,Close,Change,
DD,8/31/2012,49.93,49.75,-0.36%,
DD,9/1/2012,,,closed,
DD,10/18/2012,49.8,50.42,1.24%,
DD,10/23/2012,46.29,45.25,-2.25%,
DD,10/25/2012,45.09,45.17,0.18%,
DD,12/11/2012,43.4,43.69,0.67%,
DD,1/22/2013,47.2,47.82,1.31%,
DD,2/1/2013,47.68,47.98,0.63%,
DD,3/20/2013,49.76,49.84,0.16%,
DD,4/30/2013,54,54.51,0.94%,
DD,9/28/2012,50.59,50.27,-0.63%,
DD,10/3/2012,49.6,49.44,-0.32%,
DD,10/12/2012,48.8,48.69,-0.23%,
DD,10/23/2012,46.29,45.25,-2.25%,
DD,10/24/2012,45.31,44.91,-0.88%,
DD,10/29/2012,,,closed,
DD,10/31/2012,45.23,44.52,-1.57%,
DD,11/7/2012,44.22,43.83,-0.88%,
DD,12/12/2012,44.86,44.3,-1.25%,
DD,1/15/2013,46.17,46.25,0.17%,
DD,1/22/2013,47.2,47.82,1.31%,
DD,1/23/2013,47.55,47.5,-0.11%,
DD,2/16/2013,,,closed,
DD,3/26/2013,49.09,48.97,-0.24%,
DD,4/23/2013,50.7,52.49,3.53%,
DD,4/28/2013,,,closed,
DD,6/5/2013,55.62,54.61,-1.82%,
DD,6/13/2013,53.46,53.88,0.79%,
DD,6/24/2013,52.52,52.66,0.27%,
DD,7/17/2013,54.71,57.25,4.64%,
DD,7/19/2013,57.39,57.14,-0.44%,
DD,7/23/2013,59.72,57.12,-4.35%,
DD,8/5/2013,59.72,59.59,-0.22%,
DD,8/15/2013,58.89,58.74,-0.25%,
DD,9/18/2013,59.48,60.44,1.61%,
DD,10/24/2013,60.23,61.38,1.91%,
DD,10/24/2013,60.23,61.38,1.91%,
DD,10/25/2013,62.57,61.9,-1.07%,
DD,11/8/2013,60.78,62,2.01%,
DD,11/21/2013,61.03,61.6,0.93%,
DD,5/18/2013,,,closed,
DD,5/30/2013,56.08,56.3,0.39%,
DD,6/13/2013,53.46,53.88,0.79%,
DD,6/24/2013,52.52,52.66,0.27%,
DD,7/17/2013,54.71,57.25,4.64%,
DD,7/23/2013,59.72,57.12,-4.35%,
DD,8/16/2013,58.66,58.28,-0.65%,
DD,8/24/2013,,,closed,
DD,10/22/2013,59.82,60.17,0.59%,
DD,10/25/2013,62.57,61.9,-1.07%,
DD,11/6/2013,60.44,60.77,0.55%,
DD,12/14/2013,,,closed,
DD,3/18/2014,66.44,66.8,0.54%,
DD,3/20/2014,65.78,66.58,1.22%,
DD,3/31/2014,66.97,67.1,0.19%,
DD,4/1/2014,67.14,67.76,0.92%,
DD,4/3/2014,68.23,68.01,-0.32%,
DD,4/14/2014,66.44,66.59,0.23%,
DD,4/15/2014,66.64,66.9,0.39%,
DD,5/12/2014,68.1,68.19,0.13%,
DD,6/10/2014,69.3,69.47,0.25%,
DD,6/27/2014,65.73,65.44,-0.44%,
DD,7/23/2014,64.5,65.37,1.35%,
DD,7/22/2014,65.85,64.95,-1.37%,
