Name,Date,Open,Close,Change
GE,8/25/2012,,,closed
GE,8/28/2012,20.76,20.81,0.24%
GE,9/3/2012,,,closed
GE,9/5/2012,20.55,20.65,0.49%
GE,9/6/2012,20.87,21.31,2.11%
GE,9/10/2012,21.48,21.48,0.00%
GE,9/14/2012,22.2,22.11,-0.41%
GE,9/17/2012,21.93,22.05,0.55%
GE,9/18/2012,21.99,22.24,1.14%
GE,9/22/2012,,,closed
GE,9/25/2012,22.39,22.31,-0.36%
GE,9/26/2012,22.16,22.1,-0.27%
GE,9/27/2012,22.24,22.73,2.20%
GE,9/28/2012,22.77,22.71,-0.26%
GE,10/2/2012,22.93,22.79,-0.61%
GE,10/4/2012,22.95,22.95,0.00%
GE,10/4/2012,22.95,22.95,0.00%
GE,10/5/2012,23.04,23.12,0.35%
GE,10/6/2012,,,closed
GE,10/8/2012,22.87,22.92,0.22%
GE,10/10/2012,22.61,22.43,-0.80%
GE,10/11/2012,22.59,22.51,-0.35%
GE,10/11/2012,22.59,22.51,-0.35%
GE,10/12/2012,22.58,22.48,-0.44%
GE,10/15/2012,22.54,22.64,0.44%
GE,10/16/2012,22.79,22.64,-0.66%
GE,10/18/2012,22.81,22.81,0.00%
GE,10/19/2012,22.51,22.03,-2.13%
GE,10/20/2012,,,closed
GE,10/21/2012,,,closed
GE,10/22/2012,21.86,21.7,-0.73%
GE,10/24/2012,21.43,21.26,-0.79%
GE,10/26/2012,21.19,21.11,-0.38%
GE,10/28/2012,,,closed
GE,11/8/2012,21.16,20.89,-1.28%
GE,11/9/2012,20.76,21,1.16%
GE,11/16/2012,20.1,20.15,0.25%
GE,11/15/2012,19.9,20.06,0.80%
GE,11/16/2012,20.1,20.15,0.25%
GE,11/19/2012,20.41,20.66,1.22%
GE,11/21/2012,20.7,20.68,-0.10%
GE,11/23/2012,20.81,21.04,1.11%
GE,11/26/2012,20.88,21.06,0.86%
GE,12/3/2012,21.18,20.82,-1.70%
GE,12/3/2012,21.18,20.82,-1.70%
GE,12/7/2012,21.44,21.46,0.09%
GE,12/10/2012,21.43,21.39,-0.19%
GE,12/11/2012,21.48,21.51,0.14%
GE,12/13/2012,21.74,21.62,-0.55%
GE,12/14/2012,21.61,21.62,0.05%
GE,12/15/2012,,,closed
GE,12/17/2012,21.69,21.93,1.11%
GE,12/17/2012,21.69,21.93,1.11%
GE,12/18/2012,21.85,21.69,-0.73%
GE,12/18/2012,21.85,21.69,-0.73%
GE,12/19/2012,21.64,21.01,-2.91%
GE,12/21/2012,20.84,20.88,0.19%
GE,12/23/2012,,,closed
GE,12/23/2012,,,closed
GE,12/23/2012,,,closed
GE,12/24/2012,20.79,20.82,0.14%
GE,12/27/2012,20.8,20.69,-0.53%
GE,12/28/2012,20.45,20.44,-0.05%
GE,1/2/2013,21.51,21.34,-0.79%
GE,1/3/2013,21.48,21.1,-1.77%
GE,1/5/2013,,,closed
GE,1/9/2013,21.04,20.95,-0.43%
GE,1/11/2013,21.22,21.13,-0.42%
GE,1/12/2013,,,closed
GE,1/14/2013,21.18,21.12,-0.28%
GE,1/16/2013,21.15,21.12,-0.14%
GE,1/17/2013,21.22,21.3,0.38%
GE,1/18/2013,21.94,22.04,0.46%
GE,1/19/2013,,,closed
GE,1/18/2013,21.94,22.04,0.46%
GE,1/18/2013,21.94,22.04,0.46%
GE,1/21/2013,,,closed
GE,1/22/2013,22.18,22.01,-0.77%
GE,1/22/2013,22.18,22.01,-0.77%
GE,1/24/2013,21.96,22.05,0.41%
GE,1/23/2013,21.98,21.94,-0.18%
GE,1/24/2013,21.96,22.05,0.41%
GE,1/24/2013,21.96,22.05,0.41%
GE,1/25/2013,22.28,22.29,0.04%
GE,1/29/2013,22.49,22.5,0.04%
GE,1/31/2013,22.21,22.28,0.32%
GE,1/31/2013,22.21,22.28,0.32%
GE,2/1/2013,22.43,22.62,0.85%
GE,2/2/2013,,,closed
GE,2/2/2013,,,closed
GE,2/5/2013,22.48,22.54,0.27%
GE,2/8/2013,22.5,22.5,0.00%
GE,2/13/2013,23.11,23.39,1.21%
GE,2/12/2013,22.48,22.58,0.44%
