Name,Date,Open,Close,Change
HD,8/25/2012,,,closed
HD,8/29/2012,56.69,56.84,0.26%
HD,8/28/2012,56.24,56.53,0.52%
HD,8/31/2012,56.81,56.75,-0.11%
HD,8/25/2012,,,closed
HD,8/31/2012,56.81,56.75,-0.11%
HD,9/1/2012,,,closed
HD,9/5/2012,56.97,56.54,-0.75%
HD,9/6/2012,56.5,57.65,2.04%
HD,9/7/2012,57.76,57.26,-0.87%
HD,9/8/2012,,,closed
HD,9/8/2012,,,closed
HD,9/9/2012,,,closed
HD,9/10/2012,57.48,57.3,-0.31%
HD,9/11/2012,57.23,56.72,-0.89%
HD,9/12/2012,56.85,57.05,0.35%
HD,9/14/2012,58.72,59.46,1.26%
HD,9/15/2012,,,closed
HD,9/18/2012,58.97,58.86,-0.19%
HD,9/17/2012,59.2,58.91,-0.49%
HD,9/18/2012,58.97,58.86,-0.19%
HD,9/19/2012,59.18,59.47,0.49%
HD,9/20/2012,59.19,59.28,0.15%
HD,9/21/2012,59.58,59.42,-0.27%
HD,9/22/2012,,,closed
HD,9/25/2012,59.83,59.72,-0.18%
HD,9/26/2012,59.58,59.17,-0.69%
HD,9/27/2012,59.42,59.88,0.77%
HD,9/28/2012,59.68,60.37,1.16%
HD,9/30/2012,,,closed
HD,10/2/2012,60.87,60.33,-0.89%
HD,10/2/2012,60.87,60.33,-0.89%
HD,10/1/2012,60.77,60.57,-0.33%
HD,10/1/2012,60.77,60.57,-0.33%
HD,10/2/2012,60.87,60.33,-0.89%
HD,10/4/2012,61.84,61.74,-0.16%
HD,10/4/2012,61.84,61.74,-0.16%
HD,10/5/2012,61.97,63.2,1.98%
HD,10/8/2012,62.98,61.88,-1.75%
HD,10/9/2012,61.59,60.95,-1.04%
HD,10/10/2012,60.51,59.74,-1.27%
HD,10/11/2012,59.95,59.01,-1.57%
HD,10/11/2012,59.95,59.01,-1.57%
HD,10/12/2012,59.25,59.56,0.52%
HD,10/12/2012,59.25,59.56,0.52%
HD,10/14/2012,,,closed
HD,10/13/2012,,,closed
HD,10/14/2012,,,closed
HD,10/15/2012,59.88,60.65,1.29%
HD,10/17/2012,61.29,61.39,0.16%
HD,10/17/2012,61.29,61.39,0.16%
HD,10/19/2012,61.76,61.89,0.21%
HD,10/18/2012,61.39,61.8,0.67%
HD,10/19/2012,61.76,61.89,0.21%
HD,10/18/2012,61.39,61.8,0.67%
HD,10/19/2012,61.76,61.89,0.21%
HD,10/21/2012,,,closed
HD,10/22/2012,61.75,62.04,0.47%
HD,10/24/2012,61.95,61.28,-1.08%
HD,10/25/2012,61.7,60.48,-1.98%
HD,10/26/2012,60.38,60.04,-0.56%
HD,10/29/2012,,,closed
HD,10/29/2012,,,closed
HD,10/30/2012,,,closed
