Name,Date,Open,Close,Change
JNJ,8/27/2012,67.54,67.49,-0.07%
JNJ,8/29/2012,67.28,67.37,0.13%
JNJ,8/31/2012,67.45,67.43,-0.03%
JNJ,9/1/2012,,,closed
JNJ,8/30/2012,67.23,67.21,-0.03%
JNJ,8/31/2012,67.45,67.43,-0.03%
JNJ,8/30/2012,67.23,67.21,-0.03%
JNJ,8/30/2012,67.23,67.21,-0.03%
JNJ,8/30/2012,67.23,67.21,-0.03%
JNJ,8/30/2012,67.23,67.21,-0.03%
JNJ,9/1/2012,,,closed
JNJ,9/3/2012,,,closed
JNJ,9/4/2012,67.49,67.26,-0.34%
JNJ,9/5/2012,67.44,67.27,-0.25%
JNJ,9/5/2012,67.44,67.27,-0.25%
JNJ,9/6/2012,67.71,67.84,0.19%
JNJ,9/8/2012,,,closed
JNJ,9/7/2012,67.97,67.88,-0.13%
JNJ,9/8/2012,,,closed
JNJ,9/10/2012,67.99,68.18,0.28%
JNJ,9/13/2012,68.01,68.99,1.44%
JNJ,9/14/2012,68.91,68.47,-0.64%
JNJ,9/13/2012,68.01,68.99,1.44%
JNJ,9/13/2012,68.01,68.99,1.44%
JNJ,9/14/2012,68.91,68.47,-0.64%
JNJ,9/19/2012,68.75,68.6,-0.22%
JNJ,9/18/2012,68.08,68.55,0.69%
JNJ,9/18/2012,68.08,68.55,0.69%
JNJ,9/19/2012,68.75,68.6,-0.22%
JNJ,9/18/2012,68.08,68.55,0.69%
JNJ,9/18/2012,68.08,68.55,0.69%
JNJ,9/18/2012,68.08,68.55,0.69%
JNJ,9/19/2012,68.75,68.6,-0.22%
JNJ,9/20/2012,68.41,68.9,0.72%
JNJ,9/21/2012,69.05,69.06,0.01%
JNJ,9/24/2012,68.88,69,0.17%
JNJ,9/25/2012,69.01,69.32,0.45%
JNJ,9/26/2012,69.5,69,-0.72%
JNJ,9/26/2012,69.5,69,-0.72%
JNJ,9/27/2012,69.09,69.01,-0.12%
JNJ,9/28/2012,68.77,68.91,0.20%
JNJ,10/1/2012,68.92,69.13,0.30%
JNJ,10/2/2012,69.12,68.96,-0.23%
JNJ,10/1/2012,68.92,69.13,0.30%
JNJ,10/1/2012,68.92,69.13,0.30%
JNJ,10/2/2012,69.12,68.96,-0.23%
JNJ,10/1/2012,68.92,69.13,0.30%
JNJ,10/3/2012,69.19,69,-0.27%
JNJ,10/2/2012,69.12,68.96,-0.23%
JNJ,10/5/2012,69.46,69.65,0.27%
JNJ,10/10/2012,68.38,68.22,-0.23%
JNJ,10/9/2012,68.62,68.41,-0.31%
JNJ,10/11/2012,68.21,67.97,-0.35%
JNJ,10/13/2012,,,closed
JNJ,10/15/2012,68.18,68.6,0.62%
JNJ,10/16/2012,69.3,69.55,0.36%
JNJ,10/17/2012,69.73,71,1.82%
JNJ,10/16/2012,69.3,69.55,0.36%
JNJ,10/16/2012,69.3,69.55,0.36%
JNJ,10/16/2012,69.3,69.55,0.36%
JNJ,10/17/2012,69.73,71,1.82%
JNJ,10/18/2012,70.87,72.52,2.33%
JNJ,10/20/2012,,,closed
JNJ,10/22/2012,71.79,71.78,-0.01%
JNJ,10/23/2012,71.17,70.89,-0.39%
JNJ,10/26/2012,71,70.9,-0.14%
JNJ,11/9/2012,69.56,69.87,0.45%
JNJ,11/12/2012,69.79,69.68,-0.16%
JNJ,11/12/2012,69.79,69.68,-0.16%
JNJ,11/13/2012,69.52,69.51,-0.01%
JNJ,11/19/2012,69.54,69.25,-0.42%
JNJ,11/20/2012,69.26,69.67,0.59%
JNJ,11/21/2012,69.63,69.59,-0.06%
JNJ,11/29/2012,69.47,69.22,-0.36%
JNJ,11/30/2012,69.39,69.73,0.49%
JNJ,12/3/2012,69.8,69.65,-0.21%
JNJ,12/4/2012,69.58,69.86,0.40%
JNJ,12/5/2012,69.93,69.97,0.06%
JNJ,12/5/2012,69.93,69.97,0.06%
JNJ,12/6/2012,70.34,70.05,-0.41%
JNJ,12/11/2012,70.93,71.1,0.24%
JNJ,12/20/2012,70.74,70.75,0.01%
JNJ,12/21/2012,70.56,70.27,-0.41%
JNJ,12/24/2012,70.32,70.02,-0.43%
JNJ,12/30/2012,,,closed
JNJ,1/1/2013,,,closed
JNJ,1/2/2013,71.02,70.84,-0.25%
JNJ,1/3/2013,70.98,70.74,-0.34%
JNJ,1/4/2013,71.24,71.55,0.44%
JNJ,1/8/2013,71.31,71.41,0.14%
JNJ,1/14/2013,72.6,72.56,-0.06%
