Name,Date,Open,Close,Change
JPM,8/25/2012,,,closed
JPM,8/26/2012,,,closed
JPM,8/27/2012,37.31,37.23,-0.21%
JPM,8/26/2012,,,closed
JPM,8/26/2012,,,closed
JPM,8/27/2012,37.31,37.23,-0.21%
JPM,8/28/2012,37.1,37.13,0.08%
JPM,8/28/2012,37.1,37.13,0.08%
JPM,8/29/2012,37.32,37.3,-0.05%
JPM,8/30/2012,37.06,36.9,-0.43%
JPM,8/31/2012,37.14,37.14,0.00%
JPM,8/27/2012,37.31,37.23,-0.21%
JPM,8/27/2012,37.31,37.23,-0.21%
JPM,8/26/2012,,,closed
JPM,8/26/2012,,,closed
JPM,8/27/2012,37.31,37.23,-0.21%
JPM,8/28/2012,37.1,37.13,0.08%
JPM,8/29/2012,37.32,37.3,-0.05%
JPM,8/30/2012,37.06,36.9,-0.43%
JPM,8/31/2012,37.14,37.14,0.00%
JPM,8/26/2012,,,closed
JPM,8/26/2012,,,closed
JPM,8/26/2012,,,closed
JPM,8/26/2012,,,closed
JPM,8/27/2012,37.31,37.23,-0.21%
JPM,8/27/2012,37.31,37.23,-0.21%
JPM,8/28/2012,37.1,37.13,0.08%
JPM,8/28/2012,37.1,37.13,0.08%
JPM,8/29/2012,37.32,37.3,-0.05%
JPM,8/31/2012,37.14,37.14,0.00%
JPM,8/25/2012,,,closed
JPM,8/26/2012,,,closed
JPM,8/26/2012,,,closed
JPM,8/26/2012,,,closed
JPM,8/26/2012,,,closed
JPM,8/27/2012,37.31,37.23,-0.21%
JPM,8/26/2012,,,closed
JPM,8/27/2012,37.31,37.23,-0.21%
JPM,8/28/2012,37.1,37.13,0.08%
JPM,8/29/2012,37.32,37.3,-0.05%
JPM,8/30/2012,37.06,36.9,-0.43%
JPM,9/1/2012,,,closed
JPM,8/31/2012,37.14,37.14,0.00%
JPM,9/2/2012,,,closed
JPM,9/1/2012,,,closed
JPM,9/2/2012,,,closed
JPM,9/1/2012,,,closed
JPM,9/1/2012,,,closed
JPM,9/2/2012,,,closed
JPM,9/3/2012,,,closed
JPM,9/4/2012,36.98,37.01,0.08%
JPM,9/4/2012,36.98,37.01,0.08%
JPM,9/4/2012,36.98,37.01,0.08%
JPM,9/5/2012,37.08,37.11,0.08%
JPM,9/6/2012,37.58,38.69,2.95%
JPM,9/5/2012,37.08,37.11,0.08%
JPM,9/6/2012,37.58,38.69,2.95%
JPM,9/6/2012,37.58,38.69,2.95%
JPM,9/6/2012,37.58,38.69,2.95%
JPM,9/7/2012,39.04,39.3,0.67%
JPM,9/8/2012,,,closed
JPM,9/9/2012,,,closed
JPM,9/9/2012,,,closed
JPM,9/9/2012,,,closed
JPM,9/9/2012,,,closed
JPM,9/11/2012,38.8,39.6,2.06%
JPM,9/10/2012,39.23,38.76,-1.20%
JPM,9/11/2012,38.8,39.6,2.06%
JPM,9/10/2012,39.23,38.76,-1.20%
JPM,9/10/2012,39.23,38.76,-1.20%
JPM,9/10/2012,39.23,38.76,-1.20%
JPM,9/10/2012,39.23,38.76,-1.20%
JPM,9/10/2012,39.23,38.76,-1.20%
JPM,9/11/2012,38.8,39.6,2.06%
JPM,9/11/2012,38.8,39.6,2.06%
JPM,9/12/2012,39.88,39.92,0.10%
JPM,9/12/2012,39.88,39.92,0.10%
JPM,9/12/2012,39.88,39.92,0.10%
JPM,9/13/2012,39.84,41.4,3.92%
JPM,9/14/2012,41.96,41.57,-0.93%
JPM,9/13/2012,39.84,41.4,3.92%
JPM,9/14/2012,41.96,41.57,-0.93%
JPM,9/15/2012,,,closed
JPM,9/15/2012,,,closed
JPM,9/16/2012,,,closed
JPM,9/15/2012,,,closed
JPM,9/14/2012,41.96,41.57,-0.93%
JPM,9/15/2012,,,closed
JPM,9/16/2012,,,closed
JPM,9/15/2012,,,closed
JPM,9/16/2012,,,closed
JPM,9/15/2012,,,closed
JPM,9/16/2012,,,closed
JPM,9/17/2012,41,41.19,0.46%
JPM,9/17/2012,41,41.19,0.46%
JPM,9/16/2012,,,closed
JPM,9/16/2012,,,closed
JPM,9/16/2012,,,closed
