Name,Date,Open,Close,Change,
MCD,8/28/2012,89.44,89.14,-0.34%,
MCD,8/29/2012,89.09,89.65,0.63%,
MCD,8/28/2012,89.44,89.14,-0.34%,
MCD,8/29/2012,89.09,89.65,0.63%,
MCD,8/31/2012,89.04,89.49,0.51%,
MCD,8/27/2012,89.13,89.54,0.46%,
MCD,8/28/2012,89.44,89.14,-0.34%,
MCD,8/25/2012,,,closed,
MCD,8/28/2012,89.44,89.14,-0.34%,
MCD,8/29/2012,89.09,89.65,0.63%,
MCD,9/2/2012,,,closed,
MCD,9/2/2012,,,closed,
MCD,9/2/2012,,,closed,
MCD,9/3/2012,,,closed,
MCD,9/4/2012,89.51,89.05,-0.51%,
MCD,9/4/2012,89.51,89.05,-0.51%,
MCD,9/4/2012,89.51,89.05,-0.51%,
MCD,9/4/2012,89.51,89.05,-0.51%,
MCD,9/5/2012,89.3,89.06,-0.27%,
MCD,9/5/2012,89.3,89.06,-0.27%,
MCD,9/6/2012,89.59,90.67,1.21%,
MCD,9/5/2012,89.3,89.06,-0.27%,
MCD,9/6/2012,89.59,90.67,1.21%,
MCD,9/7/2012,91.08,91.02,-0.07%,
MCD,9/8/2012,,,closed,
MCD,9/10/2012,90.95,91.3,0.38%,
MCD,9/10/2012,90.95,91.3,0.38%,
MCD,9/10/2012,90.95,91.3,0.38%,
MCD,9/11/2012,91.87,91.2,-0.73%,
MCD,9/11/2012,91.87,91.2,-0.73%,
MCD,9/11/2012,91.87,91.2,-0.73%,
MCD,9/12/2012,91.47,90.82,-0.71%,
MCD,9/13/2012,90.54,91.57,1.14%,
MCD,9/12/2012,91.47,90.82,-0.71%,
MCD,9/13/2012,90.54,91.57,1.14%,
MCD,9/13/2012,90.54,91.57,1.14%,
MCD,9/14/2012,91.87,91.7,-0.19%,
MCD,9/15/2012,,,closed,
MCD,9/17/2012,91.75,92.14,0.43%,
MCD,9/17/2012,91.75,92.14,0.43%,
MCD,9/18/2012,92.04,93.08,1.13%,
MCD,9/19/2012,93.24,92.83,-0.44%,
MCD,9/21/2012,93.63,93.71,0.09%,
MCD,9/21/2012,93.63,93.71,0.09%,
MCD,9/20/2012,92.78,93.15,0.40%,
MCD,9/21/2012,93.63,93.71,0.09%,
MCD,9/22/2012,,,closed,
MCD,9/24/2012,93.33,93.71,0.41%,
MCD,9/25/2012,93.91,92.86,-1.12%,
MCD,9/25/2012,93.91,92.86,-1.12%,
MCD,9/26/2012,92.89,93.2,0.33%,
MCD,9/26/2012,92.89,93.2,0.33%,
MCD,9/27/2012,93.38,93.27,-0.12%,
MCD,9/27/2012,93.38,93.27,-0.12%,
MCD,9/28/2012,92.01,91.75,-0.28%,
MCD,9/29/2012,,,closed,
MCD,9/29/2012,,,closed,
MCD,9/30/2012,,,closed,
MCD,9/30/2012,,,closed,
MCD,10/1/2012,92.11,91.99,-0.13%,
MCD,10/2/2012,92.17,90.93,-1.35%,
MCD,10/3/2012,91.1,90.35,-0.82%,
MCD,10/3/2012,91.1,90.35,-0.82%,
MCD,10/4/2012,90.9,91.03,0.14%,
MCD,10/4/2012,90.9,91.03,0.14%,
MCD,10/5/2012,91.49,91,-0.54%,
MCD,10/6/2012,,,closed,
MCD,10/7/2012,,,closed,
MCD,10/8/2012,90.97,91.54,0.63%,
MCD,10/9/2012,91.46,92.11,0.71%,
MCD,10/10/2012,92.94,92.4,-0.58%,
MCD,10/12/2012,92.57,92.51,-0.06%,
MCD,10/11/2012,92.66,92.36,-0.32%,
MCD,10/14/2012,,,closed,
MCD,10/13/2012,,,closed,
MCD,10/15/2012,92.78,93.5,0.78%,
MCD,10/16/2012,93.97,94.09,0.13%,
MCD,10/16/2012,93.97,94.09,0.13%,
MCD,10/17/2012,93.96,93.6804,-0.30%,
MCD,10/18/2012,93.67,92.86,-0.86%,
MCD,10/19/2012,90.07,88.72,-1.50%,
MCD,10/19/2012,90.07,88.72,-1.50%,
MCD,10/19/2012,90.07,88.72,-1.50%,
MCD,10/20/2012,,,closed,
MCD,10/22/2012,88.86,88.45,-0.46%,
MCD,10/22/2012,88.86,88.45,-0.46%,
MCD,10/23/2012,88.02,87.96,-0.07%,
MCD,10/24/2012,88.45,87.28,-1.32%,
MCD,10/25/2012,87.78,87.33,-0.51%,
MCD,10/25/2012,87.78,87.33,-0.51%,
MCD,10/27/2012,,,closed,
MCD,10/26/2012,87.46,86.71,-0.86%,
MCD,10/26/2012,87.46,86.71,-0.86%,
MCD,10/27/2012,,,closed,
MCD,10/29/2012,,,closed,
MCD,11/8/2012,86.39,85.13,-1.46%,
MCD,11/9/2012,84.47,84.74,0.32%,
MCD,11/9/2012,84.47,84.74,0.32%,
MCD,11/9/2012,84.47,84.74,0.32%,
MCD,11/9/2012,84.47,84.74,0.32%,
MCD,11/12/2012,84.95,84.88,-0.08%,
MCD,11/15/2012,84.39,84.05,-0.40%,
MCD,11/17/2012,,,closed,
MCD,11/16/2012,84.17,84.1198,-0.06%,
MCD,11/17/2012,,,closed,
MCD,11/19/2012,84.54,85.04,0.59%,
MCD,11/20/2012,85.17,85.68,0.60%,
MCD,11/21/2012,86.06,86.01,-0.06%,
