Name,Date,Open,Close,Change
MRK,8/31/2012,43.33,43.05,-0.65%
MRK,9/11/2012,44.35,44.33,-0.05%
MRK,10/2/2012,45.43,45.47,0.09%
MRK,10/5/2012,46.42,46.28,-0.30%
MRK,10/14/2012,,,closed
MRK,10/25/2012,46.1,46.3,0.43%
MRK,10/26/2012,45.79,46.15,0.79%
MRK,10/29/2012,,,closed
MRK,11/16/2012,42.84,43.07,0.54%
MRK,11/20/2012,43.42,43.56,0.32%
MRK,12/11/2012,44.66,45.19,1.19%
MRK,12/18/2012,43.59,44.24,1.49%
MRK,1/2/2013,41.86,41.34,-1.24%
MRK,1/14/2013,43.31,43.34,0.07%
MRK,1/31/2013,43.43,43.25,-0.41%
MRK,2/1/2013,42.24,41.83,-0.97%
MRK,2/4/2013,41.39,40.85,-1.30%
MRK,2/11/2013,41.19,41.38,0.46%
MRK,2/14/2013,41.04,41.19,0.37%
MRK,2/18/2013,,,closed
MRK,2/21/2013,42.5,42.5,0.00%
MRK,3/2/2013,,,closed
MRK,3/7/2013,43.82,43.27,-1.26%
MRK,3/12/2013,45.42,45.04,-0.84%
MRK,3/25/2013,43.95,43.69,-0.59%
MRK,4/3/2013,45,45.36,0.80%
MRK,4/10/2013,45.91,46.84,2.03%
MRK,4/19/2013,46.86,47.49,1.34%
MRK,4/22/2013,47.45,47.92,0.99%
MRK,4/29/2013,47.88,47.82,-0.13%
MRK,4/30/2013,47.7499,47,-1.57%
MRK,10/2/2012,45.43,45.47,0.09%
MRK,10/15/2012,45.74,46.59,1.86%
MRK,10/24/2012,45.95,45.88,-0.15%
MRK,10/25/2012,46.1,46.3,0.43%
MRK,10/26/2012,45.79,46.15,0.79%
MRK,10/29/2012,,,closed
MRK,11/20/2012,43.42,43.56,0.32%
MRK,12/6/2012,44.45,44.51,0.13%
MRK,12/7/2012,44.53,44.63,0.22%
MRK,12/8/2012,,,closed
MRK,12/11/2012,44.66,45.19,1.19%
MRK,12/18/2012,43.59,44.24,1.49%
MRK,1/16/2013,42.89,42.54,-0.82%
MRK,2/1/2013,42.24,41.83,-0.97%
MRK,2/4/2013,41.39,40.85,-1.30%
MRK,2/13/2013,41.42,41.15,-0.65%
MRK,2/18/2013,,,closed
MRK,2/21/2013,42.5,42.5,0.00%
MRK,2/25/2013,43.31,42.52,-1.82%
MRK,3/2/2013,,,closed
MRK,3/5/2013,43.6,43.25,-0.80%
MRK,3/7/2013,43.82,43.27,-1.26%
MRK,3/13/2013,44.54,44.59,0.11%
MRK,3/26/2013,43.95,44.39,1.00%
MRK,3/28/2013,44.05,44.2,0.34%
MRK,4/4/2013,45.39,45.32,-0.15%
MRK,4/9/2013,45.73,45.51,-0.48%
MRK,4/12/2013,46.67,47.11,0.94%
MRK,4/19/2013,46.86,47.49,1.34%
MRK,4/22/2013,47.45,47.92,0.99%
MRK,4/24/2013,48.67,47.95,-1.48%
MRK,4/30/2013,47.7499,47,-1.57%
MRK,5/1/2013,44.8,45.69,1.99%
MRK,5/2/2013,45.9,45.73,-0.37%
MRK,5/7/2013,45.1,45.27,0.38%
MRK,5/3/2013,46.25,45.67,-1.25%
MRK,5/2/2013,45.9,45.73,-0.37%
MRK,5/1/2013,44.8,45.69,1.99%
MRK,5/9/2013,45.25,45.49,0.53%
MRK,5/10/2013,45.54,45.95,0.90%
MRK,5/18/2013,,,closed
MRK,5/22/2013,47.6,46.71,-1.87%
MRK,5/23/2013,46.46,47.33,1.87%
MRK,5/28/2013,47.94,47.62,-0.67%
MRK,6/14/2013,47.77,47.95,0.38%
MRK,6/25/2013,46.53,46.23,-0.64%
MRK,6/27/2013,47.03,47.28,0.53%
MRK,6/28/2013,47.46,46.45,-2.13%
MRK,7/2/2013,46.09,46.55,1.00%
MRK,7/29/2013,48.2699,48.34,0.15%
MRK,7/30/2013,48.29,48.05,-0.50%
MRK,8/4/2013,,,closed
MRK,8/12/2013,48.16,48.47,0.64%
MRK,8/21/2013,47.56,47.46,-0.21%
MRK,9/3/2013,47.52,47.21,-0.65%
MRK,9/10/2013,47.86,47.98,0.25%
MRK,9/12/2013,47.8,47.85,0.10%
MRK,9/17/2013,48.11,48.01,-0.21%
MRK,10/1/2013,48.92,48.74,-0.37%
MRK,10/2/2013,48.45,48.37,-0.17%
MRK,10/11/2013,47.42,47.29,-0.27%
MRK,10/14/2013,46.8,46.75,-0.11%
MRK,10/25/2013,46.25,46.54,0.63%
MRK,10/28/2013,45.57,45.35,-0.48%
MRK,10/29/2013,45.41,45.58,0.37%
MRK,11/1/2013,44.87,45.23,0.80%
MRK,11/3/2013,,,closed
MRK,11/5/2013,45.59,45.36,-0.50%
MRK,11/19/2013,48.05,48.07,0.04%
MRK,11/29/2013,49.79,49.83,0.08%
MRK,12/11/2013,49.51,48.95,-1.13%
MRK,12/18/2013,47.87,48.9,2.15%
MRK,12/25/2013,,,closed
MRK,5/8/2013,45.12,44.99,-0.29%
MRK,5/13/2013,45.84,46.17,0.72%
MRK,5/14/2013,46.12,46.65,1.15%
MRK,5/17/2013,46.29,45.99,-0.65%
MRK,5/28/2013,47.94,47.62,-0.67%
MRK,6/11/2013,48.07,47.56,-1.06%
MRK,6/12/2013,47.89,47.25,-1.34%
MRK,6/17/2013,48.33,47.8,-1.10%
MRK,6/20/2013,47.42,46.31,-2.34%
MRK,6/25/2013,46.53,46.23,-0.64%
MRK,7/1/2013,46.26,46.32,0.13%
MRK,7/14/2013,,,closed
MRK,7/21/2013,,,closed
MRK,7/30/2013,48.29,48.05,-0.50%
MRK,8/6/2013,48.48,48.44,-0.08%
MRK,8/12/2013,48.16,48.47,0.64%
MRK,8/20/2013,47.65,47.56,-0.19%
MRK,9/10/2013,47.86,47.98,0.25%
MRK,10/11/2013,47.42,47.29,-0.27%
MRK,10/14/2013,46.8,46.75,-0.11%
MRK,10/28/2013,45.57,45.35,-0.48%
MRK,11/18/2013,48.04,48.01,-0.06%
MRK,12/10/2013,49.28,49.43,0.30%
MRK,12/24/2013,49.43,49.41,-0.04%
MRK,1/14/2014,52.53,53,0.89%
MRK,1/15/2014,52.65,52.52,-0.25%
MRK,3/21/2014,56.5,54.66,-3.26%
MRK,4/5/2014,,,closed
MRK,4/18/2014,,,closed
MRK,4/28/2014,57.61,56.68,-1.61%
MRK,4/29/2014,57.5,58.72,2.12%
MRK,5/6/2014,58.75,57.11,-2.79%
MRK,5/8/2014,55.55,54.83,-1.30%
MRK,5/16/2014,55.66,55.87,0.38%
MRK,5/21/2014,56.2,56.58,0.68%
MRK,6/9/2014,57.49,57.94,0.78%
MRK,6/10/2014,57.92,58.49,0.98%
MRK,6/22/2014,,,closed
MRK,6/29/2014,,,closed
MRK,7/13/2014,,,closed
MRK,7/17/2014,57.87,57.6,-0.47%
MRK,7/24/2014,58.32,58.21,-0.19%
MRK,7/28/2014,58.17,57.97,-0.34%
MRK,7/30/2014,58.58,58.08,-0.85%
MRK,8/6/2014,55.88,55.93,0.09%
MRK,8/11/2014,56.7,56.66,-0.07%
MRK,8/16/2014,,,closed
MRK,1/10/2014,49.83,49.88,0.10%
MRK,1/13/2014,50.9,53.12,4.36%
MRK,1/21/2014,52.03,51.83,-0.38%
MRK,1/28/2014,52.37,52.87,0.95%
MRK,1/31/2014,53.31,52.97,-0.64%
MRK,2/3/2014,52.91,52.08,-1.57%
MRK,2/4/2014,52.59,53.51,1.75%
MRK,2/4/2014,52.59,53.51,1.75%
MRK,2/5/2014,54.275,53.53,-1.37%
MRK,2/7/2014,53.65,54.77,2.09%
MRK,2/10/2014,54.29,54.89,1.11%
MRK,2/19/2014,55.44,55.04,-0.72%
MRK,2/25/2014,56.13,55.91,-0.39%
MRK,3/18/2014,56.31,56.36,0.09%
MRK,3/27/2014,55.89,55.73,-0.29%
MRK,4/11/2014,55.55,55.92,0.67%
MRK,4/15/2014,55.79,56.05,0.47%
MRK,4/26/2014,,,closed
MRK,4/29/2014,57.5,58.72,2.12%
MRK,4/29/2014,57.5,58.72,2.12%
MRK,4/30/2014,58.51,58.56,0.09%
MRK,5/2/2014,59.47,58.22,-2.10%
MRK,5/6/2014,58.75,57.11,-2.79%
MRK,5/7/2014,56.19,55.84,-0.62%
MRK,5/8/2014,55.55,54.83,-1.30%
MRK,5/12/2014,55.62,55.29,-0.59%
MRK,5/14/2014,55.63,56.37,1.33%
MRK,5/21/2014,56.2,56.58,0.68%
MRK,5/30/2014,57.52,57.86,0.59%
MRK,6/10/2014,57.92,58.49,0.98%
MRK,6/10/2014,57.92,58.49,0.98%
MRK,6/10/2014,57.92,58.49,0.98%
MRK,6/9/2014,57.49,57.94,0.78%
MRK,6/9/2014,57.49,57.94,0.78%
MRK,6/10/2014,57.92,58.49,0.98%
MRK,6/11/2014,58.52,58.81,0.50%
MRK,6/12/2014,58.28,58.3,0.03%
MRK,6/17/2014,57.95,58.06,0.19%
MRK,7/7/2014,58.91,58.52,-0.66%
MRK,7/18/2014,57.92,58.34,0.73%
MRK,7/28/2014,58.17,57.97,-0.34%
MRK,7/29/2014,58.82,58.58,-0.41%
MRK,8/1/2014,56.58,56.8,0.39%
MRK,8/5/2014,56.72,56.03,-1.22%
MRK,8/6/2014,55.88,55.93,0.09%
MRK,8/12/2014,56.55,57.03,0.85%
MRK,8/17/2014,,,closed
MRK,8/19/2014,58.85,58.91,0.10%
MRK,8/22/2014,59.04,59.17,0.22%
MRK,8/25/2014,59.34,59.73,0.66%
MRK,2/3/2015,60.89,61.02,0.21%
MRK,2/4/2015,59.97,59.05,-1.53%
MRK,2/5/2015,59.27,59.17,-0.17%
MRK,2/10/2015,59,58.85,-0.25%
MRK,2/8/2015,,,closed
MRK,2/9/2015,58.65,58.33,-0.55%
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,1/0/0,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
,,,,Closed
