Name,Date,Open,Close,Change
MSFT,8/25/2012,,,closed
MSFT,8/25/2012,,,closed
MSFT,8/25/2012,,,closed
MSFT,8/26/2012,,,closed
MSFT,8/26/2012,,,closed
MSFT,8/25/2012,,,closed
MSFT,8/25/2012,,,closed
MSFT,8/26/2012,,,closed
MSFT,8/27/2012,30.93,30.69,-0.78%
MSFT,8/27/2012,30.93,30.69,-0.78%
MSFT,8/27/2012,30.93,30.69,-0.78%
MSFT,8/28/2012,30.7,30.63,-0.23%
MSFT,8/28/2012,30.7,30.63,-0.23%
MSFT,8/28/2012,30.7,30.63,-0.23%
MSFT,8/29/2012,30.6518,30.65,-0.01%
MSFT,8/30/2012,30.53,30.32,-0.69%
MSFT,8/29/2012,30.6518,30.65,-0.01%
MSFT,8/29/2012,30.6518,30.65,-0.01%
MSFT,8/30/2012,30.53,30.32,-0.69%
MSFT,8/30/2012,30.53,30.32,-0.69%
MSFT,8/30/2012,30.53,30.32,-0.69%
MSFT,8/30/2012,30.53,30.32,-0.69%
MSFT,8/31/2012,30.6,30.82,0.72%
MSFT,8/30/2012,30.53,30.32,-0.69%
MSFT,8/31/2012,30.6,30.82,0.72%
MSFT,8/31/2012,30.6,30.82,0.72%
MSFT,8/31/2012,30.6,30.82,0.72%
MSFT,8/25/2012,,,closed
MSFT,8/26/2012,,,closed
MSFT,8/27/2012,30.93,30.69,-0.78%
MSFT,8/27/2012,30.93,30.69,-0.78%
MSFT,8/28/2012,30.7,30.63,-0.23%
MSFT,8/28/2012,30.7,30.63,-0.23%
MSFT,8/28/2012,30.7,30.63,-0.23%
MSFT,8/28/2012,30.7,30.63,-0.23%
MSFT,8/29/2012,30.6518,30.65,-0.01%
MSFT,8/29/2012,30.6518,30.65,-0.01%
MSFT,8/29/2012,30.6518,30.65,-0.01%
MSFT,8/30/2012,30.53,30.32,-0.69%
MSFT,8/31/2012,30.6,30.82,0.72%
MSFT,8/30/2012,30.53,30.32,-0.69%
