Name,Date,Open,Close,Change
NKE,8/25/2012,,,closed
NKE,8/28/2012,48.105,49.435,2.76%
NKE,8/28/2012,48.105,49.435,2.76%
NKE,8/30/2012,48.945,48.875,-0.14%
NKE,8/31/2012,49.035,48.68,-0.72%
NKE,8/27/2012,48.46,48.215,-0.51%
NKE,8/28/2012,48.105,49.435,2.76%
NKE,8/29/2012,49.48,49.345,-0.27%
NKE,8/31/2012,49.035,48.68,-0.72%
NKE,8/26/2012,,,closed
NKE,8/28/2012,48.105,49.435,2.76%
NKE,8/29/2012,49.48,49.345,-0.27%
NKE,8/30/2012,48.945,48.875,-0.14%
NKE,8/31/2012,49.035,48.68,-0.72%
NKE,8/26/2012,,,closed
NKE,8/27/2012,48.46,48.215,-0.51%
NKE,8/29/2012,49.48,49.345,-0.27%
NKE,8/31/2012,49.035,48.68,-0.72%
NKE,9/3/2012,,,closed
NKE,9/3/2012,,,closed
NKE,9/4/2012,48.595,48.63,0.07%
NKE,9/5/2012,48.76,48.675,-0.17%
NKE,9/6/2012,48.875,49.73,1.75%
NKE,9/6/2012,48.875,49.73,1.75%
NKE,9/7/2012,49.66,49.645,-0.03%
NKE,9/9/2012,,,closed
NKE,9/10/2012,49.625,50.02,0.80%
NKE,9/11/2012,49.715,49.84,0.25%
NKE,9/11/2012,49.715,49.84,0.25%
NKE,9/11/2012,49.715,49.84,0.25%
NKE,9/12/2012,49.92,50.42,1.00%
NKE,9/13/2012,49.675,49.6,-0.15%
NKE,9/13/2012,49.675,49.6,-0.15%
NKE,9/14/2012,49.46,48.32,-2.30%
NKE,9/14/2012,49.46,48.32,-2.30%
NKE,9/15/2012,,,closed
NKE,9/14/2012,49.46,48.32,-2.30%
NKE,9/16/2012,,,closed
NKE,9/17/2012,48.16,48.985,1.71%
NKE,9/18/2012,48.85,48.86,0.02%
NKE,9/19/2012,50.115,48.83,-2.56%
NKE,9/20/2012,49.2,48.36,-1.71%
NKE,9/20/2012,49.2,48.36,-1.71%
NKE,9/19/2012,50.115,48.83,-2.56%
NKE,9/20/2012,49.2,48.36,-1.71%
NKE,9/20/2012,49.2,48.36,-1.71%
NKE,9/20/2012,49.2,48.36,-1.71%
NKE,9/21/2012,48.77,48.26,-1.05%
NKE,9/20/2012,49.2,48.36,-1.71%
NKE,9/20/2012,49.2,48.36,-1.71%
NKE,9/20/2012,49.2,48.36,-1.71%
NKE,9/20/2012,49.2,48.36,-1.71%
NKE,9/21/2012,48.77,48.26,-1.05%
NKE,9/22/2012,,,closed
NKE,9/24/2012,47.8,47.66,-0.29%
NKE,9/25/2012,47.595,47.54,-0.12%
NKE,9/25/2012,47.595,47.54,-0.12%
NKE,9/26/2012,47.48,47.745,0.56%
NKE,9/25/2012,47.595,47.54,-0.12%
NKE,9/26/2012,47.48,47.745,0.56%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/28/2012,46.53,47.455,1.99%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/28/2012,46.53,47.455,1.99%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/28/2012,46.53,47.455,1.99%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/28/2012,46.53,47.455,1.99%
NKE,9/28/2012,46.53,47.455,1.99%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/28/2012,46.53,47.455,1.99%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/28/2012,46.53,47.455,1.99%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/28/2012,46.53,47.455,1.99%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/28/2012,46.53,47.455,1.99%
NKE,9/27/2012,47.9,48,0.21%
NKE,9/28/2012,46.53,47.455,1.99%
NKE,9/28/2012,46.53,47.455,1.99%
NKE,9/28/2012,46.53,47.455,1.99%
NKE,9/29/2012,,,closed
NKE,9/28/2012,46.53,47.455,1.99%
NKE,9/29/2012,,,closed
NKE,9/29/2012,,,closed
NKE,9/30/2012,,,closed
NKE,10/1/2012,47.455,47.775,0.67%
NKE,10/1/2012,47.455,47.775,0.67%
NKE,10/2/2012,48.03,47.475,-1.16%
NKE,10/3/2012,47.455,46.9,-1.17%
NKE,10/3/2012,47.455,46.9,-1.17%
NKE,10/4/2012,47.165,47.945,1.65%
NKE,10/5/2012,48.07,47.61,-0.96%
NKE,10/4/2012,47.165,47.945,1.65%
NKE,10/5/2012,48.07,47.61,-0.96%
NKE,10/6/2012,,,closed
NKE,10/7/2012,,,closed
NKE,10/8/2012,47.505,47.495,-0.02%
NKE,10/9/2012,47.455,47.24,-0.45%
NKE,10/9/2012,47.455,47.24,-0.45%
NKE,10/9/2012,47.455,47.24,-0.45%
NKE,10/10/2012,47.43,47.11,-0.67%
NKE,10/11/2012,47.31,47.45,0.30%
NKE,10/10/2012,47.43,47.11,-0.67%
NKE,10/11/2012,47.31,47.45,0.30%
NKE,10/11/2012,47.31,47.45,0.30%
NKE,10/12/2012,47.52,47.21,-0.65%
NKE,10/11/2012,47.31,47.45,0.30%
NKE,10/13/2012,,,closed
NKE,10/12/2012,47.52,47.21,-0.65%
NKE,10/13/2012,,,closed
NKE,10/14/2012,,,closed
NKE,10/15/2012,47.335,47.805,0.99%
NKE,10/15/2012,47.335,47.805,0.99%
NKE,10/16/2012,48.14,48.62,1.00%
NKE,10/16/2012,48.14,48.62,1.00%
NKE,10/18/2012,48.85,48.785,-0.13%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/18/2012,48.85,48.785,-0.13%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/18/2012,48.85,48.785,-0.13%
NKE,10/18/2012,48.85,48.785,-0.13%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/18/2012,48.85,48.785,-0.13%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/18/2012,48.85,48.785,-0.13%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/18/2012,48.85,48.785,-0.13%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/17/2012,48.455,48.785,0.68%
NKE,10/18/2012,48.85,48.785,-0.13%
NKE,10/19/2012,48.77,48.225,-1.12%
NKE,10/18/2012,48.85,48.785,-0.13%
NKE,10/18/2012,48.85,48.785,-0.13%
NKE,10/19/2012,48.77,48.225,-1.12%
NKE,10/20/2012,,,closed
NKE,10/19/2012,48.77,48.225,-1.12%
NKE,10/19/2012,48.77,48.225,-1.12%
NKE,10/20/2012,,,closed
NKE,10/21/2012,,,closed
NKE,10/22/2012,47.71,47.24,-0.99%
NKE,10/22/2012,47.71,47.24,-0.99%
NKE,10/22/2012,47.71,47.24,-0.99%
NKE,10/23/2012,46.92,46.41,-1.09%
NKE,10/24/2012,46.87,46.445,-0.91%
NKE,10/25/2012,46.525,45.655,-1.87%
NKE,10/24/2012,46.87,46.445,-0.91%
NKE,10/25/2012,46.525,45.655,-1.87%
NKE,10/24/2012,46.87,46.445,-0.91%
NKE,10/25/2012,46.525,45.655,-1.87%
NKE,10/24/2012,46.87,46.445,-0.91%
NKE,10/24/2012,46.87,46.445,-0.91%
NKE,10/25/2012,46.525,45.655,-1.87%
NKE,10/26/2012,45.54,45.575,0.08%
NKE,10/26/2012,45.54,45.575,0.08%
NKE,10/27/2012,,,closed
NKE,10/28/2012,,,closed
NKE,10/29/2012,,,closed
NKE,10/30/2012,,,closed
NKE,11/8/2012,47.225,45.93,-2.74%
NKE,11/8/2012,47.225,45.93,-2.74%
NKE,11/8/2012,47.225,45.93,-2.74%
NKE,11/8/2012,47.225,45.93,-2.74%
NKE,11/8/2012,47.225,45.93,-2.74%
NKE,11/9/2012,45.845,46.155,0.68%
NKE,11/9/2012,45.845,46.155,0.68%
NKE,11/9/2012,45.845,46.155,0.68%
NKE,11/8/2012,47.225,45.93,-2.74%
NKE,11/9/2012,45.845,46.155,0.68%
NKE,11/9/2012,45.845,46.155,0.68%
NKE,11/11/2012,,,closed
NKE,11/12/2012,46.25,46.145,-0.23%
NKE,11/13/2012,45.585,45.735,0.33%
NKE,11/12/2012,46.25,46.145,-0.23%
NKE,11/13/2012,45.585,45.735,0.33%
NKE,11/15/2012,45.145,45.415,0.60%
NKE,11/15/2012,45.145,45.415,0.60%
NKE,11/15/2012,45.145,45.415,0.60%
NKE,11/16/2012,45.92,46.295,0.82%
NKE,11/15/2012,45.145,45.415,0.60%
NKE,11/16/2012,45.92,46.295,0.82%
NKE,11/16/2012,45.92,46.295,0.82%
NKE,11/16/2012,45.92,46.295,0.82%
NKE,11/17/2012,,,closed
NKE,11/18/2012,,,closed
NKE,11/18/2012,,,closed
NKE,11/17/2012,,,closed
NKE,11/17/2012,,,closed
NKE,11/17/2012,,,closed
NKE,11/17/2012,,,closed
NKE,11/17/2012,,,closed
NKE,11/19/2012,46.745,48.16,3.03%
NKE,11/17/2012,,,closed
NKE,11/18/2012,,,closed
NKE,11/19/2012,46.745,48.16,3.03%
NKE,11/20/2012,48.16,47.805,-0.74%
NKE,11/20/2012,48.16,47.805,-0.74%
NKE,11/21/2012,47.78,47.8,0.04%
NKE,11/22/2012,,,closed
NKE,11/23/2012,48,48.375,0.78%
NKE,11/22/2012,,,closed
NKE,11/23/2012,48,48.375,0.78%
NKE,11/24/2012,,,closed
NKE,11/26/2012,47.74,48.83,2.28%
NKE,11/28/2012,48.3,49.565,2.62%
NKE,11/27/2012,48.025,48.505,1.00%
NKE,11/28/2012,48.3,49.565,2.62%
NKE,11/29/2012,49.79,49.485,-0.61%
NKE,11/29/2012,49.79,49.485,-0.61%
NKE,11/30/2012,49.23,48.74,-1.00%
NKE,11/30/2012,49.23,48.74,-1.00%
NKE,12/2/2012,,,closed
NKE,12/1/2012,,,closed
NKE,12/2/2012,,,closed
NKE,12/3/2012,48.83,48.78,-0.10%
NKE,12/3/2012,48.83,48.78,-0.10%
NKE,12/4/2012,48.815,48.835,0.04%
NKE,12/5/2012,48.96,48.84,-0.25%
NKE,12/4/2012,48.815,48.835,0.04%
NKE,12/4/2012,48.815,48.835,0.04%
NKE,12/6/2012,48.735,49.21,0.97%
NKE,12/6/2012,48.735,49.21,0.97%
NKE,12/5/2012,48.96,48.84,-0.25%
NKE,12/6/2012,48.735,49.21,0.97%
NKE,12/6/2012,48.735,49.21,0.97%
NKE,12/6/2012,48.735,49.21,0.97%
NKE,12/7/2012,49.455,49.295,-0.32%
NKE,12/7/2012,49.455,49.295,-0.32%
NKE,12/8/2012,,,closed
NKE,12/10/2012,49.335,49.04,-0.60%
NKE,12/10/2012,49.335,49.04,-0.60%
