Name,Date,Open,Close,Change,
PFE,8/25/2012,,,closed,
PFE,8/27/2012,23.92,23.89,-0.13%,
PFE,8/28/2012,23.83,23.85,0.08%,
PFE,8/29/2012,23.91,23.96,0.21%,
PFE,8/30/2012,23.87,23.84,-0.13%,
PFE,8/31/2012,23.88,23.86,-0.08%,
PFE,8/31/2012,23.88,23.86,-0.08%,
PFE,8/26/2012,,,closed,
PFE,8/27/2012,23.92,23.89,-0.13%,
PFE,8/28/2012,23.83,23.85,0.08%,
PFE,8/30/2012,23.87,23.84,-0.13%,
PFE,8/31/2012,23.88,23.86,-0.08%,
PFE,8/29/2012,23.91,23.96,0.21%,
PFE,8/30/2012,23.87,23.84,-0.13%,
PFE,8/31/2012,23.88,23.86,-0.08%,
PFE,8/25/2012,,,closed,
PFE,8/28/2012,23.83,23.85,0.08%,
PFE,8/29/2012,23.91,23.96,0.21%,
PFE,8/31/2012,23.88,23.86,-0.08%,
PFE,9/1/2012,,,closed,
PFE,8/30/2012,23.87,23.84,-0.13%,
PFE,8/31/2012,23.88,23.86,-0.08%,
PFE,9/2/2012,,,closed,
PFE,9/4/2012,23.79,23.775,-0.06%,
PFE,9/3/2012,,,closed,
PFE,9/4/2012,23.79,23.775,-0.06%,
PFE,9/5/2012,23.91,23.92,0.04%,
PFE,9/6/2012,24.1,24.34,1.00%,
PFE,9/7/2012,24.31,24.24,-0.29%,
PFE,9/7/2012,24.31,24.24,-0.29%,
PFE,9/8/2012,,,closed,
PFE,9/9/2012,,,closed,
PFE,9/10/2012,24.2,24.1,-0.41%,
PFE,9/10/2012,24.2,24.1,-0.41%,
PFE,9/11/2012,24.08,24.17,0.37%,
PFE,9/12/2012,24.16,24.07,-0.37%,
PFE,9/13/2012,24.04,24.25,0.87%,
PFE,9/13/2012,24.04,24.25,0.87%,
PFE,9/14/2012,24.18,23.8,-1.57%,
PFE,9/15/2012,,,closed,
PFE,9/15/2012,,,closed,
PFE,9/16/2012,,,closed,
PFE,9/17/2012,23.68,24.02,1.44%,
PFE,9/18/2012,23.94,24.01,0.29%,
PFE,9/18/2012,23.94,24.01,0.29%,
PFE,9/18/2012,23.94,24.01,0.29%,
PFE,9/19/2012,24.04,24.16,0.50%,
PFE,9/19/2012,24.04,24.16,0.50%,
PFE,9/20/2012,24.13,24.41,1.16%,
PFE,9/21/2012,24.46,24.515,0.22%,
PFE,9/22/2012,,,closed,
PFE,9/24/2012,24.45,24.75,1.23%,
PFE,9/25/2012,24.84,24.84,0.00%,
PFE,9/26/2012,24.91,24.83,-0.32%,
PFE,9/27/2012,24.87,24.96,0.36%,
PFE,9/28/2012,25,24.85,-0.60%,
PFE,9/30/2012,,,closed,
PFE,10/2/2012,25.18,25.12,-0.24%,
PFE,10/3/2012,25.11,25.32,0.84%,
PFE,10/4/2012,25.42,25.35,-0.28%,
PFE,10/5/2012,25.46,25.52,0.24%,
PFE,10/4/2012,25.42,25.35,-0.28%,
PFE,10/5/2012,25.46,25.52,0.24%,
PFE,10/5/2012,25.46,25.52,0.24%,
PFE,10/6/2012,,,closed,
PFE,10/9/2012,25.31,25.31,0.00%,
PFE,10/10/2012,25.34,25.16,-0.71%,
PFE,10/10/2012,25.34,25.16,-0.71%,
PFE,10/11/2012,25.28,25.12,-0.63%,
PFE,10/12/2012,25.16,25.12,-0.16%,
PFE,10/14/2012,,,closed,
