Name,Date,Open,Close,Change,
TRV,9/13/2012,67.44,68.45,1.50%,
TRV,10/19/2012,73.93,73.51,-0.57%,
TRV,1/22/2013,79.5,77.95,-1.95%,
TRV,2/6/2013,78.15,78.96,1.04%,
TRV,4/24/2013,86.36,85.86,-0.58%,
TRV,10/2/2012,68.47,68.7,0.34%,
TRV,10/18/2012,73.51,73.94,0.58%,
TRV,10/19/2012,73.93,73.51,-0.57%,
TRV,11/5/2012,69.06,69.11,0.07%,
TRV,1/8/2013,72.98,73.19,0.29%,
TRV,1/23/2013,78.06,77.64,-0.54%,
TRV,1/25/2013,78.25,78.35,0.13%,
TRV,3/7/2013,81.11,81.2,0.11%,
TRV,4/8/2013,84.38,84.73,0.41%,
TRV,4/23/2013,87.41,86.35,-1.21%,
TRV,4/25/2013,85.95,85.27,-0.79%,
TRV,5/4/2013,,,closed,
TRV,5/13/2013,86.31,86.5,0.22%,
TRV,5/30/2013,83.66,84.56,1.08%,
TRV,6/4/2013,83.9,83.82,-0.10%,
TRV,6/10/2013,83.44,83.3,-0.17%,
TRV,6/11/2013,82.55,82.08,-0.57%,
TRV,6/19/2013,83.89,82.28,-1.92%,
TRV,7/23/2013,84.76,82.21,-3.01%,
TRV,7/26/2013,82.55,83.6,1.27%,
TRV,7/30/2013,83.6,83.39,-0.25%,
TRV,8/8/2013,82.11,82.03,-0.10%,
TRV,9/12/2013,83.13,83.12,-0.01%,
TRV,10/18/2013,86.55,86.58,0.03%,
TRV,10/22/2013,88.05,86.71,-1.52%,
TRV,5/22/2013,83.56,83.77,0.25%,
TRV,6/6/2013,81.86,81.74,-0.15%,
TRV,6/10/2013,83.44,83.3,-0.17%,
TRV,6/13/2013,81.52,82.8,1.57%,
TRV,7/23/2013,84.76,82.21,-3.01%,
TRV,9/19/2013,86.46,86.9,0.51%,
TRV,10/2/2013,84.46,84.48,0.02%,
TRV,10/18/2013,86.55,86.58,0.03%,
TRV,10/22/2013,88.05,86.71,-1.52%,
TRV,1/6/2014,89.72,88.92,-0.89%,
TRV,4/21/2014,86.71,86.4,-0.36%,
TRV,5/15/2014,92.45,92.37,-0.09%,
TRV,5/23/2014,93.01,92.86,-0.16%,
TRV,7/22/2014,90.36,91.63,1.41%,
TRV,1/17/2014,87.23,86.47,-0.87%,
TRV,1/21/2014,86.25,85,-1.45%,
TRV,1/21/2014,86.25,85,-1.45%,
TRV,1/22/2014,84.9,84.56,-0.40%,
TRV,2/5/2014,80.07,80.44,0.46%,
TRV,2/13/2014,81.87,82.88,1.23%,
TRV,2/28/2014,83.72,83.84,0.14%,
TRV,3/13/2014,83.68,82.59,-1.30%,
TRV,4/19/2014,,,closed,
TRV,4/22/2014,86.75,86.89,0.16%,
TRV,4/23/2014,86.9,88.13,1.42%,
TRV,4/29/2014,90,90.9,1.00%,
TRV,5/7/2014,90.33,91.07,0.82%,
TRV,5/14/2014,93.02,92.65,-0.40%,
TRV,5/16/2014,92.46,92.58,0.13%,
TRV,5/23/2014,93.01,92.86,-0.16%,
TRV,6/1/2014,,,closed,
TRV,6/6/2014,94.54,94.36,-0.19%,
TRV,6/10/2014,94.69,95.1,0.43%,
TRV,6/13/2014,94.95,95.41,0.48%,
TRV,6/17/2014,94.93,95.22,0.31%,
TRV,7/9/2014,94.58,94.7,0.13%,
TRV,7/19/2014,,,closed,
TRV,7/22/2014,90.36,91.63,1.41%,
TRV,7/24/2014,92.09,92.88,0.86%,
TRV,8/1/2014,89.47,89.61,0.16%,
TRV,8/19/2014,92.87,92.91,0.04%,
TRV,8/25/2014,94.08,94.29,0.22%,
TRV,8/26/2014,94.52,94.2,-0.34%,
TRV,8/27/2014,94.15,94.76,0.65%,
TRV,9/4/2014,94.63,94.26,-0.39%,
TRV,9/13/2014,,,closed,
TRV,10/8/2014,93.91,94.45,0.58%,
TRV,10/21/2014,93.96,94.24,0.30%,
TRV,10/22/2014,94.74,95.58,0.89%,
TRV,11/5/2014,101.58,101.49,-0.09%,
TRV,11/21/2014,104.39,103.81,-0.56%,
TRV,11/25/2014,104.09,103.43,-0.63%,
TRV,12/2/2014,103.73,104.4,0.65%,
TRV,12/3/2014,104.24,105.19,0.91%,
TRV,12/11/2014,103.78,104.57,0.76%,
TRV,12/30/2014,106.95,106.93,-0.02%,
TRV,3/4/2015,106.91,106.88,-0.03%,
TRV,2/8/2015,,,closed,
TRV,2/12/2015,107.78,108.04,0.24%,
TRV,2/17/2015,108.43,108,-0.40%,
2015-04-26T22:16:43.014-0400 E QUERY    Error: error hasNext: false, ,,,closed,
    at Error (<anonymous>), ,,,closed,
    at DBQuery.next (src/mongo/shell/query.js:255:15), ,,,closed,
    at trv.js:12:22 at src/mongo/shell/query.js:255, ,,,closed,
failed to load: trv.js, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
, ,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
,,,,Closed,
