Name,,Open,Close,Change
UNH,8/25/2012,,,closed
UNH,8/28/2012,54.4,54.33,-0.13%
UNH,8/25/2012,,,closed
UNH,8/28/2012,54.4,54.33,-0.13%
UNH,9/4/2012,54.4,54.56,0.29%
UNH,9/14/2012,54.7,54.25,-0.82%
UNH,9/15/2012,,,closed
UNH,9/24/2012,56.08,55.98,-0.18%
UNH,9/25/2012,56.22,56.2,-0.04%
UNH,9/26/2012,56.34,55.78,-0.99%
UNH,10/8/2012,57.59,57.6,0.02%
UNH,10/8/2012,57.59,57.6,0.02%
UNH,10/10/2012,57.42,57.11,-0.54%
UNH,10/16/2012,57.19,56.88,-0.54%
UNH,10/17/2012,57.58,55.99,-2.76%
UNH,10/22/2012,55.52,56.54,1.84%
UNH,11/8/2012,54.35,53.44,-1.67%
UNH,11/16/2012,51.25,51.9,1.27%
UNH,11/20/2012,52.92,53.14,0.42%
UNH,11/20/2012,52.92,53.14,0.42%
UNH,11/21/2012,53.2,53.53,0.62%
UNH,11/26/2012,52.99,53.53,1.02%
UNH,11/27/2012,53.13,52.59,-1.02%
UNH,11/30/2012,54.18,54.39,0.39%
UNH,12/6/2012,53.9,53.65,-0.46%
UNH,12/13/2012,55.22,54.38,-1.52%
UNH,12/18/2012,54.62,54.95,0.60%
UNH,1/3/2013,53.44,51.99,-2.71%
UNH,1/7/2013,51.884,52.09,0.40%
UNH,1/10/2013,52.52,53.11,1.12%
UNH,1/14/2013,52.87,53.36,0.93%
UNH,1/17/2013,53.76,54.4,1.19%
UNH,1/21/2013,,,closed
UNH,2/7/2013,57.36,57.05,-0.54%
UNH,2/21/2013,55.57,55.24,-0.59%
UNH,3/1/2013,53.34,53.52,0.34%
UNH,3/12/2013,54.17,54.83,1.22%
UNH,3/16/2013,,,closed
UNH,3/22/2013,55.14,54.46,-1.23%
UNH,3/23/2013,,,closed
UNH,3/28/2013,56.66,57.21,0.97%
UNH,4/3/2013,62.41,61.67,-1.19%
UNH,4/10/2013,62.32,62.41,0.14%
UNH,4/14/2013,,,closed
UNH,4/18/2013,59.39,59.69,0.51%
UNH,4/19/2013,59.94,60.04,0.17%
UNH,4/25/2013,59.13,59.34,0.36%
UNH,9/13/2012,52.64,53.89,2.37%
UNH,9/18/2012,54.33,55.13,1.47%
UNH,9/27/2012,56.29,56.24,-0.09%
UNH,10/5/2012,58.1,57.13,-1.67%
UNH,10/9/2012,57.6,57.47,-0.23%
UNH,10/8/2012,57.59,57.6,0.02%
UNH,10/9/2012,57.6,57.47,-0.23%
UNH,10/11/2012,57.54,57.66,0.21%
UNH,10/16/2012,57.19,56.88,-0.54%
UNH,10/17/2012,57.58,55.99,-2.76%
UNH,10/19/2012,56.01,55.66,-0.62%
UNH,10/24/2012,56.44,55.92,-0.92%
UNH,11/4/2012,,,closed
UNH,11/6/2012,55.28,56.39,2.01%
UNH,11/8/2012,54.35,53.44,-1.67%
UNH,11/24/2012,,,closed
UNH,11/28/2012,52.27,52.75,0.92%
UNH,12/4/2012,53.96,53.54,-0.78%
UNH,12/11/2012,54.25,54.76,0.94%
