Name,Date,Open,Close,Change,
V,8/25/2012,,,closed,
V,8/25/2012,,,closed,
V,8/26/2012,,,closed,
V,8/27/2012,31.823,31.915,0.29%,
V,8/29/2012,31.888,32.005,0.37%,
V,8/25/2012,,,closed,
V,8/25/2012,,,closed,
V,8/26/2012,,,closed,
V,8/27/2012,31.823,31.915,0.29%,
V,8/28/2012,31.965,31.85,-0.36%,
V,8/29/2012,31.888,32.005,0.37%,
V,8/30/2012,31.775,31.675,-0.31%,
V,8/25/2012,,,closed,
V,8/26/2012,,,closed,
V,8/25/2012,,,closed,
V,8/25/2012,,,closed,
V,8/26/2012,,,closed,
V,8/28/2012,31.965,31.85,-0.36%,
V,8/29/2012,31.888,32.005,0.37%,
V,8/30/2012,31.775,31.675,-0.31%,
V,8/25/2012,,,closed,
V,8/25/2012,,,closed,
V,8/28/2012,31.965,31.85,-0.36%,
V,8/30/2012,31.775,31.675,-0.31%,
V,8/31/2012,31.878,32.063,0.58%,
V,9/1/2012,,,closed,
V,9/2/2012,,,closed,
V,9/3/2012,,,closed,
V,9/2/2012,,,closed,
V,9/3/2012,,,closed,
V,9/3/2012,,,closed,
V,9/4/2012,32.09,32.13,0.12%,
V,9/3/2012,,,closed,
V,9/4/2012,32.09,32.13,0.12%,
V,9/5/2012,32.215,31.903,-0.97%,
V,9/6/2012,32.045,32.375,1.03%,
V,9/6/2012,32.045,32.375,1.03%,
V,9/7/2012,32.378,32.428,0.15%,
V,9/7/2012,32.378,32.428,0.15%,
V,9/7/2012,32.378,32.428,0.15%,
V,9/8/2012,,,closed,
V,9/7/2012,32.378,32.428,0.15%,
V,9/8/2012,,,closed,
V,9/8/2012,,,closed,
V,9/8/2012,,,closed,
V,9/10/2012,32.105,32.17,0.20%,
V,9/9/2012,,,closed,
V,9/11/2012,32.22,32.873,2.03%,
V,9/10/2012,32.105,32.17,0.20%,
V,9/10/2012,32.105,32.17,0.20%,
V,9/11/2012,32.22,32.873,2.03%,
V,9/12/2012,32.913,33.365,1.37%,
V,9/11/2012,32.22,32.873,2.03%,
V,9/12/2012,32.913,33.365,1.37%,
V,9/13/2012,33.238,33.745,1.53%,
V,9/12/2012,32.913,33.365,1.37%,
V,9/14/2012,33.813,33.563,-0.74%,
V,9/13/2012,33.238,33.745,1.53%,
V,9/14/2012,33.813,33.563,-0.74%,
V,9/13/2012,33.238,33.745,1.53%,
V,9/14/2012,33.813,33.563,-0.74%,
V,9/15/2012,,,closed,
V,9/14/2012,33.813,33.563,-0.74%,
V,9/16/2012,,,closed,
V,9/17/2012,33.615,33.468,-0.44%,
V,9/18/2012,33.273,33.415,0.43%,
V,9/19/2012,33.468,33.698,0.69%,
V,9/19/2012,33.468,33.698,0.69%,
V,9/19/2012,33.468,33.698,0.69%,
V,9/20/2012,33.573,33.653,0.24%,
V,9/20/2012,33.573,33.653,0.24%,
V,9/20/2012,33.573,33.653,0.24%,
V,9/20/2012,33.573,33.653,0.24%,
V,9/20/2012,33.573,33.653,0.24%,
V,9/20/2012,33.573,33.653,0.24%,
V,9/20/2012,33.573,33.653,0.24%,
V,9/21/2012,33.825,33.75,-0.22%,
V,9/21/2012,33.825,33.75,-0.22%,
V,9/22/2012,,,closed,
V,9/23/2012,,,closed,
V,9/24/2012,33.528,33.435,-0.28%,
V,9/25/2012,33.46,33.64,0.54%,
V,9/26/2012,33.535,33.13,-1.21%,
V,9/27/2012,33.178,33.478,0.90%,
V,9/28/2012,33.495,33.57,0.22%,
V,9/27/2012,33.178,33.478,0.90%,
V,9/28/2012,33.495,33.57,0.22%,
V,9/29/2012,,,closed,
V,9/30/2012,,,closed,
V,10/1/2012,33.718,34.183,1.38%,
V,10/2/2012,34.148,34,-0.43%,
V,10/2/2012,34.148,34,-0.43%,
V,10/2/2012,34.148,34,-0.43%,
V,10/3/2012,34.163,34.63,1.37%,
V,10/4/2012,34.7,34.918,0.63%,
V,10/5/2012,35.185,35.065,-0.34%,
V,10/5/2012,35.185,35.065,-0.34%,
V,10/5/2012,35.185,35.065,-0.34%,
V,10/6/2012,,,closed,
V,10/8/2012,34.75,34.678,-0.21%,
V,10/9/2012,34.793,34.185,-1.75%,
V,10/9/2012,34.793,34.185,-1.75%,
V,10/10/2012,34.158,34.355,0.58%,
V,10/10/2012,34.158,34.355,0.58%,
V,10/11/2012,34.55,34.763,0.62%,
V,10/10/2012,34.158,34.355,0.58%,
V,10/11/2012,34.55,34.763,0.62%,
V,10/12/2012,34.843,34.78,-0.18%,
V,10/12/2012,34.843,34.78,-0.18%,
V,10/13/2012,,,closed,
V,10/14/2012,,,closed,
V,10/15/2012,34.84,34.973,0.38%,
V,10/15/2012,34.84,34.973,0.38%,
V,10/16/2012,35.05,35.29,0.68%,
V,10/17/2012,35.29,35.64,0.99%,
V,10/16/2012,35.05,35.29,0.68%,
V,10/17/2012,35.29,35.64,0.99%,
V,10/17/2012,35.29,35.64,0.99%,
V,10/18/2012,35.59,35.47,-0.34%,
V,10/17/2012,35.29,35.64,0.99%,
V,10/18/2012,35.59,35.47,-0.34%,
V,10/17/2012,35.29,35.64,0.99%,
V,10/18/2012,35.59,35.47,-0.34%,
V,10/17/2012,35.29,35.64,0.99%,
V,10/18/2012,35.59,35.47,-0.34%,
V,10/19/2012,35.578,34.993,-1.64%,
V,10/19/2012,35.578,34.993,-1.64%,
V,10/20/2012,,,closed,
V,10/21/2012,,,closed,
V,10/22/2012,34.953,34.75,-0.58%,
V,10/22/2012,34.953,34.75,-0.58%,
V,10/23/2012,34.488,34.16,-0.95%,
V,10/24/2012,34.375,34.123,-0.73%,
V,10/24/2012,34.375,34.123,-0.73%,
V,10/25/2012,34.458,34.388,-0.20%,
V,10/24/2012,34.375,34.123,-0.73%,
V,10/25/2012,34.458,34.388,-0.20%,
V,10/25/2012,34.458,34.388,-0.20%,
V,10/25/2012,34.458,34.388,-0.20%,
V,10/25/2012,34.458,34.388,-0.20%,
V,10/25/2012,34.458,34.388,-0.20%,
V,10/25/2012,34.458,34.388,-0.20%,
V,10/26/2012,34.458,34.578,0.35%,
V,10/26/2012,34.458,34.578,0.35%,
V,10/25/2012,34.458,34.388,-0.20%,
V,10/26/2012,34.458,34.578,0.35%,
V,10/27/2012,,,closed,
V,10/28/2012,,,closed,
V,10/29/2012,,,closed,
V,11/8/2012,35.538,35.515,-0.06%,
V,11/8/2012,35.538,35.515,-0.06%,
V,11/9/2012,35.23,35.733,1.43%,
V,11/9/2012,35.23,35.733,1.43%,
V,11/9/2012,35.23,35.733,1.43%,
V,11/9/2012,35.23,35.733,1.43%,
V,11/8/2012,35.538,35.515,-0.06%,
V,11/11/2012,,,closed,
V,11/12/2012,35.505,35.81,0.86%,
V,11/12/2012,35.505,35.81,0.86%,
V,11/13/2012,35.65,35.613,-0.10%,
V,11/15/2012,35,35,0.00%,
V,11/15/2012,35,35,0.00%,
V,11/16/2012,35.005,35.678,1.92%,
V,11/16/2012,35.005,35.678,1.92%,
V,11/15/2012,35,35,0.00%,
V,11/16/2012,35.005,35.678,1.92%,
V,11/17/2012,,,closed,
V,11/17/2012,,,closed,
V,11/19/2012,36,36.413,1.15%,
V,11/21/2012,36.555,36.665,0.30%,
V,11/20/2012,36.385,36.585,0.55%,
V,11/20/2012,36.385,36.585,0.55%,
V,11/20/2012,36.385,36.585,0.55%,
V,11/21/2012,36.555,36.665,0.30%,
V,11/22/2012,,,closed,
V,11/21/2012,36.555,36.665,0.30%,
V,11/22/2012,,,closed,
V,11/21/2012,36.555,36.665,0.30%,
V,11/21/2012,36.555,36.665,0.30%,
V,11/22/2012,,,closed,
V,11/21/2012,36.555,36.665,0.30%,
V,11/21/2012,36.555,36.665,0.30%,
V,11/21/2012,36.555,36.665,0.30%,
V,11/21/2012,36.555,36.665,0.30%,
V,11/21/2012,36.555,36.665,0.30%,
V,11/23/2012,36.825,37.03,0.56%,
V,11/22/2012,,,closed,
V,11/23/2012,36.825,37.03,0.56%,
V,11/25/2012,,,closed,
V,11/25/2012,,,closed,
V,11/24/2012,,,closed,
V,11/25/2012,,,closed,
V,11/24/2012,,,closed,
V,11/25/2012,,,closed,
