Name,Date,Open,Close,Change,
VZ,8/25/2012,,,closed,
VZ,8/25/2012,,,closed,
VZ,8/27/2012,43.1,42.76,-0.79%,
VZ,8/27/2012,43.1,42.76,-0.79%,
VZ,8/28/2012,42.69,42.67,-0.05%,
VZ,8/28/2012,42.69,42.67,-0.05%,
VZ,8/29/2012,42.72,43.09,0.87%,
VZ,8/30/2012,42.95,42.77,-0.42%,
VZ,8/31/2012,42.99,42.94,-0.12%,
VZ,8/31/2012,42.99,42.94,-0.12%,
VZ,8/27/2012,43.1,42.76,-0.79%,
VZ,8/29/2012,42.72,43.09,0.87%,
VZ,8/28/2012,42.69,42.67,-0.05%,
VZ,8/29/2012,42.72,43.09,0.87%,
VZ,8/29/2012,42.72,43.09,0.87%,
VZ,8/30/2012,42.95,42.77,-0.42%,
VZ,8/31/2012,42.99,42.94,-0.12%,
VZ,8/25/2012,,,closed,
VZ,8/27/2012,43.1,42.76,-0.79%,
VZ,8/27/2012,43.1,42.76,-0.79%,
VZ,8/28/2012,42.69,42.67,-0.05%,
VZ,8/29/2012,42.72,43.09,0.87%,
VZ,8/30/2012,42.95,42.77,-0.42%,
VZ,9/1/2012,,,closed,
VZ,8/31/2012,42.99,42.94,-0.12%,
VZ,8/28/2012,42.69,42.67,-0.05%,
VZ,8/27/2012,43.1,42.76,-0.79%,
VZ,8/28/2012,42.69,42.67,-0.05%,
VZ,8/30/2012,42.95,42.77,-0.42%,
VZ,8/29/2012,42.72,43.09,0.87%,
VZ,8/29/2012,42.72,43.09,0.87%,
VZ,8/30/2012,42.95,42.77,-0.42%,
VZ,8/31/2012,42.99,42.94,-0.12%,
VZ,9/1/2012,,,closed,
VZ,9/3/2012,,,closed,
VZ,9/3/2012,,,closed,
VZ,9/5/2012,43.63,43.8,0.39%,
VZ,9/4/2012,42.91,43.7,1.84%,
VZ,9/4/2012,42.91,43.7,1.84%,
VZ,9/4/2012,42.91,43.7,1.84%,
VZ,9/6/2012,44.08,44.15,0.16%,
VZ,9/6/2012,44.08,44.15,0.16%,
VZ,9/5/2012,43.63,43.8,0.39%,
VZ,9/6/2012,44.08,44.15,0.16%,
VZ,9/5/2012,43.63,43.8,0.39%,
VZ,9/6/2012,44.08,44.15,0.16%,
VZ,9/5/2012,43.63,43.8,0.39%,
VZ,9/5/2012,43.63,43.8,0.39%,
VZ,9/5/2012,43.63,43.8,0.39%,
VZ,9/5/2012,43.63,43.8,0.39%,
VZ,9/5/2012,43.63,43.8,0.39%,
VZ,9/6/2012,44.08,44.15,0.16%,
VZ,9/5/2012,43.63,43.8,0.39%,
VZ,9/5/2012,43.63,43.8,0.39%,
VZ,9/6/2012,44.08,44.15,0.16%,
VZ,9/6/2012,44.08,44.15,0.16%,
VZ,9/5/2012,43.63,43.8,0.39%,
VZ,9/6/2012,44.08,44.15,0.16%,
VZ,9/6/2012,44.08,44.15,0.16%,
VZ,9/7/2012,44.1,43.72,-0.86%,
VZ,9/8/2012,,,closed,
VZ,9/9/2012,,,closed,
VZ,9/8/2012,,,closed,
VZ,9/7/2012,44.1,43.72,-0.86%,
VZ,9/8/2012,,,closed,
VZ,9/9/2012,,,closed,
VZ,9/9/2012,,,closed,
VZ,9/10/2012,43.79,44.06,0.62%,
VZ,9/10/2012,43.79,44.06,0.62%,
VZ,9/11/2012,44.18,44.24,0.14%,
VZ,9/10/2012,43.79,44.06,0.62%,
VZ,9/11/2012,44.18,44.24,0.14%,
VZ,9/11/2012,44.18,44.24,0.14%,
VZ,9/12/2012,44.29,44.89,1.35%,
VZ,9/11/2012,44.18,44.24,0.14%,
VZ,9/11/2012,44.18,44.24,0.14%,
VZ,9/11/2012,44.18,44.24,0.14%,
VZ,9/12/2012,44.29,44.89,1.35%,
VZ,9/12/2012,44.29,44.89,1.35%,
VZ,9/12/2012,44.29,44.89,1.35%,
VZ,9/12/2012,44.29,44.89,1.35%,
VZ,9/12/2012,44.29,44.89,1.35%,
VZ,9/13/2012,44.85,45.58,1.63%,
VZ,9/14/2012,45.23,44.53,-1.55%,
VZ,9/13/2012,44.85,45.58,1.63%,
VZ,9/14/2012,45.23,44.53,-1.55%,
VZ,9/14/2012,45.23,44.53,-1.55%,
VZ,9/14/2012,45.23,44.53,-1.55%,
VZ,9/15/2012,,,closed,
VZ,9/16/2012,,,closed,
VZ,9/15/2012,,,closed,
VZ,9/16/2012,,,closed,
VZ,9/17/2012,44.44,44.58,0.32%,
VZ,9/17/2012,44.44,44.58,0.32%,
VZ,9/18/2012,44.68,44.91,0.51%,
VZ,9/18/2012,44.68,44.91,0.51%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/18/2012,44.68,44.91,0.51%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/19/2012,45,45.27,0.60%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/22/2012,,,closed,
VZ,9/20/2012,45,45.49,1.09%,
VZ,9/21/2012,45.72,45.64,-0.17%,
VZ,9/21/2012,45.72,45.64,-0.17%,
VZ,9/21/2012,45.72,45.64,-0.17%,
VZ,9/22/2012,,,closed,
VZ,9/23/2012,,,closed,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/25/2012,45.88,45.62,-0.57%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/25/2012,45.88,45.62,-0.57%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/25/2012,45.88,45.62,-0.57%,
VZ,9/25/2012,45.88,45.62,-0.57%,
VZ,9/24/2012,45.8,45.68,-0.26%,
VZ,9/25/2012,45.88,45.62,-0.57%,
VZ,9/26/2012,45.62,45.59,-0.07%,
VZ,9/27/2012,45.8,45.76,-0.09%,
VZ,9/27/2012,45.8,45.76,-0.09%,
VZ,9/28/2012,45.63,45.57,-0.13%,
VZ,9/29/2012,,,closed,
VZ,9/30/2012,,,closed,
VZ,10/1/2012,45.64,45.81,0.37%,
VZ,9/30/2012,,,closed,
VZ,10/2/2012,45.97,45.86,-0.24%,
VZ,10/2/2012,45.97,45.86,-0.24%,
VZ,10/1/2012,45.64,45.81,0.37%,
VZ,10/1/2012,45.64,45.81,0.37%,
VZ,10/1/2012,45.64,45.81,0.37%,
VZ,10/1/2012,45.64,45.81,0.37%,
VZ,10/1/2012,45.64,45.81,0.37%,
VZ,10/2/2012,45.97,45.86,-0.24%,
VZ,10/2/2012,45.97,45.86,-0.24%,
VZ,10/3/2012,45.98,46.28,0.65%,
VZ,10/2/2012,45.97,45.86,-0.24%,
VZ,10/3/2012,45.98,46.28,0.65%,
VZ,10/4/2012,46.41,47.26,1.83%,
VZ,10/3/2012,45.98,46.28,0.65%,
VZ,10/3/2012,45.98,46.28,0.65%,
VZ,10/5/2012,46.93,47.05,0.26%,
VZ,10/3/2012,45.98,46.28,0.65%,
VZ,10/4/2012,46.41,47.26,1.83%,
VZ,10/4/2012,46.41,47.26,1.83%,
VZ,10/5/2012,46.93,47.05,0.26%,
VZ,10/5/2012,46.93,47.05,0.26%,
VZ,10/6/2012,,,closed,
VZ,10/8/2012,47.01,46.57,-0.94%,
VZ,10/8/2012,47.01,46.57,-0.94%,
VZ,10/9/2012,46.56,46.11,-0.97%,
VZ,10/9/2012,46.56,46.11,-0.97%,
VZ,10/9/2012,46.56,46.11,-0.97%,
VZ,10/10/2012,46.07,45.78,-0.63%,
VZ,10/10/2012,46.07,45.78,-0.63%,
VZ,10/10/2012,46.07,45.78,-0.63%,
VZ,10/9/2012,46.56,46.11,-0.97%,
VZ,10/10/2012,46.07,45.78,-0.63%,
VZ,10/9/2012,46.56,46.11,-0.97%,
VZ,10/10/2012,46.07,45.78,-0.63%,
VZ,10/9/2012,46.56,46.11,-0.97%,
VZ,10/9/2012,46.56,46.11,-0.97%,
VZ,10/9/2012,46.56,46.11,-0.97%,
VZ,10/11/2012,45.95,45.2,-1.63%,
VZ,10/9/2012,46.56,46.11,-0.97%,
VZ,10/9/2012,46.56,46.11,-0.97%,
VZ,10/10/2012,46.07,45.78,-0.63%,
VZ,10/10/2012,46.07,45.78,-0.63%,
VZ,10/11/2012,45.95,45.2,-1.63%,
VZ,10/11/2012,45.95,45.2,-1.63%,
VZ,10/10/2012,46.07,45.78,-0.63%,
VZ,10/10/2012,46.07,45.78,-0.63%,
VZ,10/11/2012,45.95,45.2,-1.63%,
