Name,Date,Open,Close,Change,
WMT,8/25/2012,,,closed,
WMT,8/27/2012,72.17,72.5,0.46%,
WMT,8/27/2012,72.17,72.5,0.46%,
WMT,8/27/2012,72.17,72.5,0.46%,
WMT,8/28/2012,72.18,72.41,0.32%,
WMT,8/29/2012,72.61,72.77,0.22%,
WMT,8/29/2012,72.61,72.77,0.22%,
WMT,8/30/2012,72.63,72.25,-0.52%,
WMT,8/30/2012,72.63,72.25,-0.52%,
WMT,8/31/2012,72.59,72.6,0.01%,
WMT,8/30/2012,72.63,72.25,-0.52%,
WMT,9/1/2012,,,closed,
WMT,8/25/2012,,,closed,
WMT,8/26/2012,,,closed,
WMT,8/27/2012,72.17,72.5,0.46%,
WMT,8/27/2012,72.17,72.5,0.46%,
WMT,8/28/2012,72.18,72.41,0.32%,
WMT,8/28/2012,72.18,72.41,0.32%,
WMT,8/29/2012,72.61,72.77,0.22%,
WMT,8/29/2012,72.61,72.77,0.22%,
WMT,8/30/2012,72.63,72.25,-0.52%,
WMT,8/31/2012,72.59,72.6,0.01%,
WMT,9/1/2012,,,closed,
WMT,9/1/2012,,,closed,
WMT,8/31/2012,72.59,72.6,0.01%,
WMT,8/25/2012,,,closed,
WMT,8/27/2012,72.17,72.5,0.46%,
WMT,8/26/2012,,,closed,
WMT,8/27/2012,72.17,72.5,0.46%,
WMT,8/27/2012,72.17,72.5,0.46%,
WMT,8/27/2012,72.17,72.5,0.46%,
WMT,8/29/2012,72.61,72.77,0.22%,
WMT,8/28/2012,72.18,72.41,0.32%,
WMT,8/29/2012,72.61,72.77,0.22%,
WMT,8/30/2012,72.63,72.25,-0.52%,
WMT,8/30/2012,72.63,72.25,-0.52%,
WMT,8/31/2012,72.59,72.6,0.01%,
WMT,8/25/2012,,,closed,
WMT,8/26/2012,,,closed,
WMT,8/27/2012,72.17,72.5,0.46%,
WMT,8/28/2012,72.18,72.41,0.32%,
WMT,8/29/2012,72.61,72.77,0.22%,
WMT,8/30/2012,72.63,72.25,-0.52%,
WMT,8/31/2012,72.59,72.6,0.01%,
WMT,8/31/2012,72.59,72.6,0.01%,
WMT,8/31/2012,72.59,72.6,0.01%,
WMT,8/31/2012,72.59,72.6,0.01%,
WMT,9/1/2012,,,closed,
WMT,9/2/2012,,,closed,
WMT,9/3/2012,,,closed,
WMT,9/3/2012,,,closed,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/3/2012,,,closed,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/4/2012,72.77,73.51,1.02%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/6/2012,73.98,74.81,1.12%,
WMT,9/5/2012,73.86,73.55,-0.42%,
WMT,9/6/2012,73.98,74.81,1.12%,
WMT,9/6/2012,73.98,74.81,1.12%,
WMT,9/7/2012,74.7,73.82,-1.18%,
WMT,9/6/2012,73.98,74.81,1.12%,
WMT,9/8/2012,,,closed,
WMT,9/7/2012,74.7,73.82,-1.18%,
WMT,9/7/2012,74.7,73.82,-1.18%,
WMT,9/8/2012,,,closed,
WMT,9/7/2012,74.7,73.82,-1.18%,
WMT,9/8/2012,,,closed,
WMT,9/7/2012,74.7,73.82,-1.18%,
WMT,9/8/2012,,,closed,
WMT,9/8/2012,,,closed,
WMT,9/8/2012,,,closed,
WMT,9/9/2012,,,closed,
WMT,9/10/2012,73.89,73.51,-0.51%,
WMT,9/10/2012,73.89,73.51,-0.51%,
WMT,9/10/2012,73.89,73.51,-0.51%,
WMT,9/11/2012,73.72,74.06,0.46%,
WMT,9/11/2012,73.72,74.06,0.46%,
WMT,9/11/2012,73.72,74.06,0.46%,
WMT,9/11/2012,73.72,74.06,0.46%,
WMT,9/11/2012,73.72,74.06,0.46%,
WMT,9/12/2012,74.06,74.07,0.01%,
WMT,9/13/2012,73.95,75.14,1.61%,
WMT,9/12/2012,74.06,74.07,0.01%,
WMT,9/13/2012,73.95,75.14,1.61%,
WMT,9/12/2012,74.06,74.07,0.01%,
WMT,9/14/2012,74.84,74.5,-0.45%,
WMT,9/13/2012,73.95,75.14,1.61%,
WMT,9/13/2012,73.95,75.14,1.61%,
WMT,9/13/2012,73.95,75.14,1.61%,
WMT,9/13/2012,73.95,75.14,1.61%,
WMT,9/14/2012,74.84,74.5,-0.45%,
WMT,9/13/2012,73.95,75.14,1.61%,
