Name,Date,Open,Close,Change,
XOM,8/28/2012,87.57,88.1,0.61%,
XOM,8/31/2012,87.61,87.3,-0.35%,
XOM,8/28/2012,87.57,88.1,0.61%,
XOM,8/31/2012,87.61,87.3,-0.35%,
XOM,9/4/2012,87.33,87.12,-0.24%,
XOM,9/6/2012,87.89,88.99,1.25%,
XOM,9/10/2012,89.82,89.48,-0.38%,
XOM,9/12/2012,89.63,89.55,-0.09%,
XOM,9/14/2012,91.5,92.3,0.87%,
XOM,9/17/2012,91.92,91.91,-0.01%,
XOM,9/18/2012,91.43,91.65,0.24%,
XOM,9/19/2012,91.48,90.57,-0.99%,
XOM,9/21/2012,92.03,91.92,-0.12%,
XOM,9/20/2012,90.14,91.52,1.53%,
XOM,9/20/2012,90.14,91.52,1.53%,
XOM,9/20/2012,90.14,91.52,1.53%,
XOM,9/20/2012,90.14,91.52,1.53%,
XOM,9/20/2012,90.14,91.52,1.53%,
XOM,9/20/2012,90.14,91.52,1.53%,
XOM,9/20/2012,90.14,91.52,1.53%,
XOM,9/20/2012,90.14,91.52,1.53%,
XOM,9/20/2012,90.14,91.52,1.53%,
XOM,9/20/2012,90.14,91.52,1.53%,
XOM,9/21/2012,92.03,91.92,-0.12%,
XOM,9/25/2012,92.11,91.74,-0.40%,
XOM,9/27/2012,91.83,91.8,-0.03%,
XOM,9/28/2012,91.48,91.45,-0.03%,
XOM,9/30/2012,,,closed,
XOM,10/1/2012,91.79,91.8,0.01%,
XOM,10/3/2012,91.65,91.7,0.05%,
XOM,10/2/2012,92.12,91.72,-0.43%,
XOM,10/3/2012,91.65,91.7,0.05%,
XOM,10/4/2012,92.08,92.22,0.15%,
XOM,10/5/2012,92.59,92.55,-0.04%,
XOM,10/5/2012,92.59,92.55,-0.04%,
XOM,10/5/2012,92.59,92.55,-0.04%,
XOM,10/5/2012,92.59,92.55,-0.04%,
XOM,10/5/2012,92.59,92.55,-0.04%,
XOM,10/6/2012,,,closed,
XOM,10/6/2012,,,closed,
XOM,10/8/2012,92.15,92.68,0.58%,
XOM,10/9/2012,92.83,92.13,-0.75%,
XOM,10/10/2012,91.8,91.03,-0.84%,
XOM,10/10/2012,91.8,91.03,-0.84%,
XOM,10/11/2012,91.57,91.17,-0.44%,
XOM,10/10/2012,91.8,91.03,-0.84%,
XOM,10/10/2012,91.8,91.03,-0.84%,
XOM,10/10/2012,91.8,91.03,-0.84%,
XOM,10/10/2012,91.8,91.03,-0.84%,
XOM,10/10/2012,91.8,91.03,-0.84%,
XOM,10/10/2012,91.8,91.03,-0.84%,
XOM,10/10/2012,91.8,91.03,-0.84%,
XOM,10/11/2012,91.57,91.17,-0.44%,
XOM,10/10/2012,91.8,91.03,-0.84%,
XOM,10/11/2012,91.57,91.17,-0.44%,
XOM,10/10/2012,91.8,91.03,-0.84%,
XOM,10/11/2012,91.57,91.17,-0.44%,
XOM,10/10/2012,91.8,91.03,-0.84%,
XOM,10/12/2012,91.51,91.03,-0.52%,
XOM,10/11/2012,91.57,91.17,-0.44%,
XOM,10/12/2012,91.51,91.03,-0.52%,
XOM,10/15/2012,91.35,91.51,0.18%,
XOM,10/16/2012,91.89,92.38,0.53%,
XOM,10/17/2012,92.62,93.39,0.83%,
XOM,10/17/2012,92.62,93.39,0.83%,
XOM,10/17/2012,92.62,93.39,0.83%,
XOM,10/18/2012,92.97,93.48,0.55%,
XOM,10/17/2012,92.62,93.39,0.83%,
XOM,10/18/2012,92.97,93.48,0.55%,
XOM,10/18/2012,92.97,93.48,0.55%,
XOM,10/18/2012,92.97,93.48,0.55%,
XOM,10/19/2012,93.57,92.15,-1.52%,
XOM,10/20/2012,,,closed,
XOM,10/21/2012,,,closed,
XOM,10/22/2012,91.67,92.19,0.57%,
XOM,10/22/2012,91.67,92.19,0.57%,
XOM,10/23/2012,91.13,90.18,-1.04%,
XOM,10/24/2012,90.46,89.88,-0.64%,
XOM,10/24/2012,90.46,89.88,-0.64%,
XOM,10/25/2012,90.63,90.43,-0.22%,
XOM,10/26/2012,90.56,90.62,0.07%,
XOM,10/26/2012,90.56,90.62,0.07%,
XOM,10/27/2012,,,closed,
XOM,10/27/2012,,,closed,
XOM,10/28/2012,,,closed,
XOM,10/29/2012,,,closed,
XOM,11/8/2012,88.27,87.0695,-1.36%,
XOM,11/8/2012,88.27,87.0695,-1.36%,
XOM,11/8/2012,88.27,87.0695,-1.36%,
XOM,11/9/2012,86.61,87.21,0.69%,
XOM,11/8/2012,88.27,87.0695,-1.36%,
XOM,11/9/2012,86.61,87.21,0.69%,
XOM,11/10/2012,,,closed,
XOM,11/9/2012,86.61,87.21,0.69%,
XOM,11/10/2012,,,closed,
XOM,11/10/2012,,,closed,
XOM,11/10/2012,,,closed,
XOM,11/10/2012,,,closed,
XOM,11/11/2012,,,closed,
XOM,11/12/2012,87.27,87.32,0.06%,
XOM,11/12/2012,87.27,87.32,0.06%,
XOM,11/13/2012,86.75,86.47,-0.32%,
XOM,11/15/2012,86.09,86.14,0.06%,
XOM,11/16/2012,86.14,86.45,0.36%,
XOM,11/17/2012,,,closed,
XOM,11/19/2012,87.4,87.67,0.31%,
XOM,11/20/2012,87.51,87.5,-0.01%,
XOM,11/21/2012,87.81,88.01,0.23%,
XOM,11/23/2012,88.25,89.09,0.95%,
XOM,11/27/2012,88.4,87.35,-1.19%,
XOM,11/29/2012,88.37,88.12,-0.28%,
XOM,11/29/2012,88.37,88.12,-0.28%,
XOM,11/29/2012,88.37,88.12,-0.28%,
XOM,11/30/2012,88.07,88.14,0.08%,
XOM,11/29/2012,88.37,88.12,-0.28%,
XOM,11/29/2012,88.37,88.12,-0.28%,
XOM,11/29/2012,88.37,88.12,-0.28%,
XOM,11/30/2012,88.07,88.14,0.08%,
XOM,12/3/2012,88.55,87.61,-1.06%,
XOM,12/4/2012,87.38,87.19,-0.22%,
XOM,12/5/2012,87.27,87.73,0.53%,
XOM,12/5/2012,87.27,87.73,0.53%,
XOM,12/4/2012,87.38,87.19,-0.22%,
XOM,12/5/2012,87.27,87.73,0.53%,
XOM,12/5/2012,87.27,87.73,0.53%,
XOM,12/4/2012,87.38,87.19,-0.22%,
XOM,12/4/2012,87.38,87.19,-0.22%,
XOM,12/5/2012,87.27,87.73,0.53%,
XOM,12/5/2012,87.27,87.73,0.53%,
XOM,12/6/2012,87.76,88,0.27%,
XOM,12/7/2012,88.17,88.6,0.49%,
XOM,12/8/2012,,,closed,
XOM,12/8/2012,,,closed,
XOM,12/9/2012,,,closed,
XOM,12/11/2012,88.61,88.99,0.43%,
XOM,12/11/2012,88.61,88.99,0.43%,
XOM,12/11/2012,88.61,88.99,0.43%,
XOM,12/12/2012,89.09,89.45,0.40%,
XOM,12/13/2012,89.16,88.58,-0.65%,
XOM,12/14/2012,88,88.08,0.09%,
XOM,12/16/2012,,,closed,
XOM,12/18/2012,88.75,89.56,0.91%,
XOM,12/18/2012,88.75,89.56,0.91%,
XOM,12/19/2012,89.54,88.4364,-1.23%,
XOM,12/20/2012,88.38,88.89,0.58%,
XOM,12/21/2012,87.66,87.23,-0.49%,
XOM,12/20/2012,88.38,88.89,0.58%,
XOM,12/20/2012,88.38,88.89,0.58%,
XOM,12/21/2012,87.66,87.23,-0.49%,
XOM,12/23/2012,,,closed,
XOM,12/26/2012,87.21,87.07,-0.16%,
XOM,12/28/2012,86.1,85.1,-1.16%,
XOM,1/3/2013,88.46,88.55,0.10%,
XOM,1/3/2013,88.46,88.55,0.10%,
XOM,1/3/2013,88.46,88.55,0.10%,
XOM,1/3/2013,88.46,88.55,0.10%,
XOM,1/2/2013,87.79,88.71,1.05%,
XOM,1/3/2013,88.46,88.55,0.10%,
XOM,1/4/2013,88.5,88.96,0.52%,
XOM,1/4/2013,88.5,88.96,0.52%,
XOM,1/5/2013,,,closed,
XOM,1/4/2013,88.5,88.96,0.52%,
XOM,1/4/2013,88.5,88.96,0.52%,
XOM,1/5/2013,,,closed,
XOM,1/7/2013,88.31,87.93,-0.43%,
XOM,1/11/2013,88.97,89.61,0.72%,
XOM,1/13/2013,,,closed,
XOM,1/15/2013,89.18,89.53,0.39%,
XOM,1/17/2013,89.76,90.2,0.49%,
XOM,1/22/2013,90.27,90.92,0.72%,
XOM,1/21/2013,,,closed,
XOM,1/22/2013,90.27,90.92,0.72%,
XOM,1/23/2013,90.5,90.7,0.22%,
XOM,1/24/2013,90.88,91.35,0.52%,
XOM,1/24/2013,90.88,91.35,0.52%,
XOM,1/25/2013,91.57,91.73,0.17%,
XOM,1/25/2013,91.57,91.73,0.17%,
XOM,1/25/2013,91.57,91.73,0.17%,
XOM,1/25/2013,91.57,91.73,0.17%,
XOM,1/25/2013,91.57,91.73,0.17%,
XOM,1/25/2013,91.57,91.73,0.17%,
XOM,1/25/2013,91.57,91.73,0.17%,
XOM,1/27/2013,,,closed,
XOM,1/28/2013,91.67,91.11,-0.61%,
XOM,1/28/2013,91.67,91.11,-0.61%,
XOM,1/29/2013,91.21,91.76,0.60%,
XOM,1/29/2013,91.21,91.76,0.60%,
XOM,1/30/2013,91.17,90.67,-0.55%,
XOM,1/30/2013,91.17,90.67,-0.55%,
XOM,1/31/2013,90.69,89.97,-0.79%,
XOM,1/31/2013,90.69,89.97,-0.79%,
XOM,2/1/2013,90.44,90.04,-0.44%,
XOM,2/1/2013,90.44,90.04,-0.44%,
XOM,2/1/2013,90.44,90.04,-0.44%,
XOM,2/2/2013,,,closed,
XOM,2/1/2013,90.44,90.04,-0.44%,
XOM,2/1/2013,90.44,90.04,-0.44%,
XOM,2/1/2013,90.44,90.04,-0.44%,
XOM,2/2/2013,,,closed,
XOM,2/2/2013,,,closed,
XOM,2/1/2013,90.44,90.04,-0.44%,
XOM,2/1/2013,90.44,90.04,-0.44%,
XOM,2/1/2013,90.44,90.04,-0.44%,
XOM,2/2/2013,,,closed,
XOM,2/2/2013,,,closed,
XOM,2/3/2013,,,closed,
XOM,2/4/2013,89.41,89.15,-0.29%,
XOM,2/4/2013,89.41,89.15,-0.29%,
XOM,2/5/2013,89.88,89.74,-0.16%,
XOM,2/6/2013,89.37,89.79,0.47%,
XOM,2/7/2013,89.21,88.25,-1.08%,
XOM,2/8/2013,88.5,88.61,0.12%,
XOM,2/8/2013,88.5,88.61,0.12%,
XOM,2/8/2013,88.5,88.61,0.12%,
XOM,2/9/2013,,,closed,
XOM,2/11/2013,88.35,88.28,-0.08%,
XOM,2/11/2013,88.35,88.28,-0.08%,
XOM,2/12/2013,88.25,88.46,0.24%,
XOM,2/14/2013,88.34,88.52,0.20%,
XOM,2/14/2013,88.34,88.52,0.20%,
XOM,2/13/2013,88.46,88.67,0.24%,
XOM,2/13/2013,88.46,88.67,0.24%,
XOM,2/13/2013,88.46,88.67,0.24%,
XOM,2/14/2013,88.34,88.52,0.20%,
XOM,2/14/2013,88.34,88.52,0.20%,
XOM,2/13/2013,88.46,88.67,0.24%,
XOM,2/14/2013,88.34,88.52,0.20%,
XOM,2/13/2013,88.46,88.67,0.24%,
XOM,2/14/2013,88.34,88.52,0.20%,
XOM,2/16/2013,,,closed,
XOM,2/16/2013,,,closed,
XOM,2/17/2013,,,closed,
XOM,2/19/2013,88.54,89.32,0.88%,
XOM,2/20/2013,89.14,88.97,-0.19%,
XOM,2/21/2013,88.79,88.59,-0.23%,
XOM,2/22/2013,89.02,89.2,0.20%,
XOM,2/23/2013,,,closed,
XOM,2/22/2013,89.02,89.2,0.20%,
XOM,2/23/2013,,,closed,
XOM,2/27/2013,88.5,89.53,1.16%,
XOM,3/2/2013,,,closed,
XOM,3/4/2013,89.13,88.95,-0.20%,
